"Group Summary Report"
"Cohort 4Yr Graduation Rates (Reported for Prior School Year)"

"Organization Code",Group,"Accountability Year","Graduating Class of","Total Students","Total Graduates","Graduation Rate","# Total Adult Diploma","% Adult Diploma","# Total Advanced Diploma","% Advanced Diploma","# Total Alternative Diploma","% Alternative Diploma","# Total College and Career Ready Diploma","% College and Career Ready Diploma","# Total Standard Diploma","% Standard Diploma","# Total Adjusted Diploma","% Adjusted Diploma","# Certificates of Attendance","% Certificates of Attendance","# HSE","% HSE"
00,State,2014-2015,2013-2014,34201,23941,70.0,507,1.4,7069,20.6,*,*,*,*,16083,47.0,1145,3.3,28,<0.1,111,0.3
00,State,2015-2016,2014-2015,33995,24247,71.3,410,1.2,7447,21.9,*,*,*,*,16396,48.2,1210,3.5,*,*,58,0.1
00,State,2016-2017,2015-2016,34407,25307,73.5,397,1.1,7930,23.0,*,*,*,*,16999,49.4,1362,3.9,*,*,76,0.2
00,State,2017-2018,2016-2017,35771,28922,80.8,333,0.9,8517,23.8,*,*,*,*,20049,56.0,359,1.0,*,*,61,0.1
00,State,2018-2019,2017-2018,36319,30204,83.1,450,1.2,9266,25.5,-,-,-,-,20488,56.4,104,0.2,*,*,47,0.1
16604,"I Can Do Anything Charter High School",2014-2015,2013-2014,110,28,25.4,-,-,-,-,*,*,*,*,27,24.5,-,-,-,-,-,-
16604,"I Can Do Anything Charter High School",2015-2016,2014-2015,105,30,28.5,-,-,-,-,*,*,*,*,30,28.5,-,-,*,*,-,-
16604,"I Can Do Anything Charter High School",2016-2017,2015-2016,97,23,23.7,-,-,-,-,*,*,*,*,22,22.6,-,-,*,*,-,-
16604,"I Can Do Anything Charter High School",2017-2018,2016-2017,100,31,31.0,-,-,-,-,*,*,*,*,31,31.0,-,-,*,*,-,-
16604,"I Can Do Anything Charter High School",2018-2019,2017-2018,87,35,40.2,-,-,-,-,-,-,-,-,35,40.2,-,-,*,*,-,-
