"Group Summary Report"
"Cohort 4Yr Graduation Rates (Reported for Prior School Year)"

"Organization Code",Group,"Accountability Year","Graduating Class of","Total Students","Total Graduates","Graduation Rate","# Total Adult Diploma","% Adult Diploma","# Total Advanced Diploma","% Advanced Diploma","# Total Alternative Diploma","% Alternative Diploma","# Total College and Career Ready Diploma","% College and Career Ready Diploma","# Total Standard Diploma","% Standard Diploma","# Total Adjusted Diploma","% Adjusted Diploma","# Certificates of Attendance","% Certificates of Attendance","# HSE","% HSE"
00,State,2014-2015,2013-2014,34201,23941,70.0,507,1.4,7069,20.6,*,*,*,*,16083,47.0,1145,3.3,28,<0.1,111,0.3
00,State,2015-2016,2014-2015,33995,24247,71.3,410,1.2,7447,21.9,*,*,*,*,16396,48.2,1210,3.5,*,*,58,0.1
00,State,2016-2017,2015-2016,34407,25307,73.5,397,1.1,7930,23.0,*,*,*,*,16999,49.4,1362,3.9,*,*,76,0.2
00,State,2017-2018,2016-2017,35771,28922,80.8,333,0.9,8517,23.8,*,*,*,*,20049,56.0,359,1.0,*,*,61,0.1
00,State,2018-2019,2017-2018,36319,30204,83.1,450,1.2,9266,25.5,-,-,-,-,20488,56.4,104,0.2,*,*,47,0.1
00,State,2019-2020,2018-2019,36842,30988,84.1,369,1.0,6579,17.8,14,<0.1,5211,14.1,18815,51.0,97,0.2,*,*,49,0.1
00,State,2020-2021,2019-2020,37460,30929,82.5,262,0.6,5192,13.8,21,<0.1,7390,19.7,18076,48.2,89,0.2,*,*,51,0.1
00,State,2021-2022,2020-2021,37486,30479,81.3,253,0.6,5535,14.7,43,0.1,7092,18.9,17555,46.8,92,0.2,*,*,87,0.2
00,State,2022-2023,2021-2022,36918,30171,81.7,272,0.7,4700,12.7,70,0.1,7877,21.3,17524,47.4,272,0.7,*,*,89,0.2
00,State,2023-2024,2022-2023,38348,31212,81.3,289,0.7,4822,12.5,79,0.2,8199,21.3,18112,47.2,130,0.3,*,*,65,0.1
00,State,2024-2025,2023-2024,39180,31978,81.6,287,0.7,4530,11.5,107,0.2,8395,21.4,18946,48.3,201,0.5,*,*,45,0.1
00,State,2025-2026,2024-2025,39975,34175,85.4,243,0.6,4665,11.6,173,0.4,9746,24.3,19591,49.0,191,0.4,*,*,141,0.3
01,Churchill,2014-2015,2013-2014,288,205,71.1,-,-,66,22.9,*,*,*,*,136,47.2,-,-,*,*,-,-
01,Churchill,2015-2016,2014-2015,311,209,67.2,-,-,105,33.7,*,*,*,*,104,33.4,12,<5,*,*,-,-
01,Churchill,2016-2017,2015-2016,335,200,59.7,-,-,80,23.8,*,*,*,*,119,35.5,14,<5,*,*,-,-
01,Churchill,2017-2018,2016-2017,273,200,73.2,-,-,12,<5,*,*,*,*,185,67.7,-,-,*,*,-,-
01,Churchill,2018-2019,2017-2018,254,193,75.9,-,-,67,26.3,-,-,-,-,125,49.2,-,-,*,*,-,-
01,Churchill,2019-2020,2018-2019,292,213,72.9,-,-,25,8.5,-,-,20,6.8,168,57.5,-,-,*,*,-,-
01,Churchill,2020-2021,2019-2020,251,193,76.8,-,-,39,15.5,-,-,27,10.7,126,50.1,-,-,*,*,-,-
01,Churchill,2021-2022,2020-2021,219,175,79.9,-,-,25,11.4,-,-,32,14.6,114,52.0,-,-,*,*,-,-
01,Churchill,2022-2023,2021-2022,242,193,79.7,-,-,29,11.9,-,-,28,11.5,135,55.7,-,-,*,*,-,-
01,Churchill,2023-2024,2022-2023,221,186,84.1,-,-,22,9.9,-,-,25,11.3,139,62.8,-,-,*,*,-,-
01,Churchill,2024-2025,2023-2024,252,212,84.1,-,-,43,17.0,-,-,24,9.5,144,57.1,-,-,*,*,-,-
01,Churchill,2025-2026,2024-2025,263,226,85.9,16,6.0,73,27.7,-,-,-,-,152,57.7,-,-,*,*,-,-
01401,"Churchill County High School",2014-2015,2013-2014,255,202,79.2,-,-,66,25.8,*,*,*,*,136,53.3,-,-,-,-,-,-
01401,"Churchill County High School",2015-2016,2014-2015,289,209,72.3,-,-,105,36.3,*,*,*,*,104,35.9,12,<5,*,*,-,-
01401,"Churchill County High School",2016-2017,2015-2016,313,198,63.2,-,-,80,25.5,*,*,*,*,118,37.6,14,<5,*,*,-,-
01401,"Churchill County High School",2017-2018,2016-2017,250,197,78.8,-,-,12,<5,*,*,*,*,185,74.0,-,-,*,*,-,-
01401,"Churchill County High School",2018-2019,2017-2018,231,192,83.1,-,-,67,29.0,-,-,-,-,125,54.1,-,-,*,*,-,-
01401,"Churchill County High School",2019-2020,2018-2019,260,213,81.9,-,-,25,9.6,-,-,20,7.6,168,64.6,-,-,*,*,-,-
01401,"Churchill County High School",2020-2021,2019-2020,230,193,83.9,-,-,39,16.9,-,-,27,11.7,126,54.7,-,-,*,*,-,-
01401,"Churchill County High School",2021-2022,2020-2021,207,173,83.5,-,-,25,12.0,-,-,32,15.4,114,55.0,-,-,*,*,-,-
01401,"Churchill County High School",2022-2023,2021-2022,242,193,79.7,-,-,29,11.9,-,-,28,11.5,135,55.7,-,-,*,*,-,-
01401,"Churchill County High School",2023-2024,2022-2023,214,186,86.9,-,-,22,10.2,-,-,25,11.6,139,64.9,-,-,*,*,-,-
01401,"Churchill County High School",2024-2025,2023-2024,240,212,88.3,-,-,43,17.9,-,-,24,10.0,144,60.0,-,-,*,*,-,-
01401,"Churchill County High School",2025-2026,2024-2025,248,226,91.1,-,-,73,29.4,-,-,-,-,152,61.2,-,-,*,*,-,-
01902,"Churchill County Adult Ed",2014-2015,2013-2014,33,-,-,-,-,-,-,*,*,*,*,-,-,-,-,-,-,-,-
01902,"Churchill County Adult Ed",2015-2016,2014-2015,22,-,-,-,-,-,-,*,*,*,*,-,-,-,-,*,*,-,-
01902,"Churchill County Adult Ed",2016-2017,2015-2016,22,-,-,-,-,-,-,*,*,*,*,-,-,-,-,*,*,-,-
01902,"Churchill County Adult Ed",2017-2018,2016-2017,23,-,-,-,-,-,-,*,*,*,*,-,-,-,-,*,*,-,-
01902,"Churchill County Adult",2018-2019,2017-2018,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,*,*,-,-
01902,"Churchill County Adult",2019-2020,2018-2019,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,*,*,-,-
01902,"Churchill County Adult Ed",2020-2021,2019-2020,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,*,*,-,-
01902,"Churchill County Adult Ed",2021-2022,2020-2021,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,*,*,-,-
01902,"Churchill County Adult Ed",2023-2024,2022-2023,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,*,-,-,-
01902,"Churchill County Adult Education",2024-2025,2023-2024,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,*,*,-,-
01902,"Churchill County Adult Education",2025-2026,2024-2025,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,*,*,-,-
02,Clark,2014-2015,2013-2014,23432,16604,70.8,407,1.7,4246,18.1,*,*,*,*,11950,50.9,785,3.3,*,*,16,<0.3
02,Clark,2015-2016,2014-2015,23479,16922,72.0,352,1.4,4485,19.1,*,*,*,*,12088,51.4,842,3.5,*,*,-,-
02,Clark,2016-2017,2015-2016,23483,17583,74.8,321,1.3,4763,20.2,*,*,*,*,12516,53.2,961,4.0,*,*,-,-
02,Clark,2017-2018,2016-2017,24197,20129,83.1,225,0.9,5253,21.7,*,*,*,*,14651,60.5,233,0.9,*,*,-,-
02,Clark,2018-2019,2017-2018,24763,21102,85.2,334,1.3,5767,23.2,-,-,-,-,15001,60.5,-,-,*,*,-,-
02,Clark,2019-2020,2018-2019,25254,21668,85.8,221,0.8,3689,14.6,-,-,4194,16.6,13555,53.6,-,-,*,*,-,-
02,Clark,2020-2021,2019-2020,25662,21342,83.1,136,0.5,2198,8.5,15,<0.3,6180,24.0,12825,49.9,-,-,*,*,-,-
02,Clark,2021-2022,2020-2021,25689,20792,80.9,116,0.4,2334,9.0,21,<0.3,5973,23.2,12348,48.0,-,-,*,*,-,-
02,Clark,2022-2023,2021-2022,25212,20499,81.3,108,0.4,2458,9.7,47,<0.3,5735,22.7,12259,48.6,171,0.6,*,*,-,-
02,Clark,2023-2024,2022-2023,26596,21675,81.4,152,0.5,2606,9.7,52,<0.3,5960,22.4,13057,49.0,34,<0.3,*,*,-,-
02,Clark,2024-2025,2023-2024,26668,21736,81.5,157,0.5,2214,8.3,72,<0.3,6000,22.4,13450,50.4,139,0.5,*,*,-,-
02,Clark,2025-2026,2024-2025,27066,23443,86.6,112,0.4,2258,8.3,122,0.4,7011,25.9,14052,51.9,115,0.4,*,*,75,<0.3
02215,"John F Miller School",2014-2015,2013-2014,16,-,-,-,-,-,-,*,*,*,*,-,-,-,-,-,-,-,-
02215,"John F Miller School",2016-2017,2015-2016,-,-,-,-,-,-,-,*,-,*,-,-,-,-,-,*,-,-,-
02215,"John F Miller School",2017-2018,2016-2017,-,-,-,-,-,-,-,*,-,*,-,-,-,-,-,*,-,-,-
02215,"John F Miller School",2018-2019,2017-2018,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,*,*,-,-
02215,"John F Miller School",2019-2020,2018-2019,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,*,-,-,-
02215,"John F Miller School",2020-2021,2019-2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,*,-,-,-
02215,"John F Miller School",2021-2022,2020-2021,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,*,*,-,-
02215,"John F Miller School",2022-2023,2021-2022,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,*,*,-,-
02215,"John F Miller School",2023-2024,2022-2023,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,*,-,-,-
02215,"John F Miller ",2024-2025,2023-2024,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,*,-,-,-
02215,"John F Miller ",2025-2026,2024-2025,11,-,-,-,-,-,-,-,-,-,-,-,-,10,90.9,*,*,-,-
02320,"Sandy Valley Jr/Sr High School",2014-2015,2013-2014,18,15,83.3,-,-,-,-,*,*,*,*,10,55.5,-,-,-,-,-,-
02320,"Sandy Valley Jr/Sr High School",2015-2016,2014-2015,16,16,>95,-,-,-,-,*,*,*,*,13,81.2,-,-,*,*,-,-
02320,"Sandy Valley Jr/Sr High School",2016-2017,2015-2016,21,21,>95,-,-,10,47.6,*,*,*,*,11,52.3,-,-,*,*,-,-
02320,"Sandy Valley Jr/Sr High School",2017-2018,2016-2017,18,16,88.8,-,-,-,-,*,*,*,*,14,77.7,-,-,*,*,-,-
02320,"Sandy Valley Jr/Sr High School",2018-2019,2017-2018,21,18,85.7,-,-,-,-,-,-,-,-,13,61.9,-,-,*,*,-,-
02320,"Sandy Valley Jr/Sr High School",2019-2020,2018-2019,14,13,92.8,-,-,-,-,-,-,-,-,-,-,-,-,*,*,-,-
02320,"Sandy Valley Jr/Sr High School",2020-2021,2019-2020,20,18,90.0,-,-,-,-,-,-,-,-,13,65.0,-,-,*,*,-,-
02320,"Sandy Valley Jr/Sr High School",2021-2022,2020-2021,22,22,>95,-,-,-,-,-,-,-,-,13,59.0,-,-,*,*,-,-
02320,"Sandy Valley Jr/Sr High School",2022-2023,2021-2022,17,17,>95,-,-,-,-,-,-,-,-,10,58.8,-,-,*,*,-,-
02320,"Sandy Valley Jr/Sr High School",2023-2024,2022-2023,19,18,94.7,-,-,-,-,-,-,-,-,10,52.6,-,-,*,*,-,-
02320,"Sandy Valley JR/SR High School",2024-2025,2023-2024,34,33,>95,-,-,-,-,-,-,11,32.3,20,58.8,-,-,*,*,-,-
02320,"Sandy Valley JR/SR High School",2025-2026,2024-2025,26,26,>95,-,-,-,-,-,-,-,-,13,50.0,-,-,*,*,-,-
02321,"Laughlin Jr/Sr High School",2014-2015,2013-2014,58,36,62.0,-,-,14,24.1,*,*,*,*,22,37.9,-,-,-,-,-,-
02321,"Laughlin Jr/Sr High School",2015-2016,2014-2015,39,29,74.3,-,-,10,25.6,*,*,*,*,19,48.7,-,-,*,*,-,-
02321,"Laughlin Jr/Sr High School",2016-2017,2015-2016,34,26,76.4,-,-,-,-,*,*,*,*,17,50.0,-,-,*,*,-,-
02321,"Laughlin Jr/Sr High School",2017-2018,2016-2017,45,45,>95,-,-,-,-,*,*,*,*,37,82.2,-,-,*,*,-,-
02321,"Laughlin Jr/Sr High School",2018-2019,2017-2018,48,45,93.7,-,-,10,20.8,-,-,-,-,35,72.9,-,-,*,*,-,-
02321,"Laughlin Jr/Sr High School",2019-2020,2018-2019,48,38,79.1,-,-,-,-,-,-,-,-,24,50.0,-,-,*,*,-,-
02321,"Laughlin Jr/Sr High School",2020-2021,2019-2020,53,44,83.0,-,-,-,-,-,-,12,22.6,31,58.4,-,-,*,*,-,-
02321,"Laughlin Jr/Sr High School",2021-2022,2020-2021,55,41,74.5,-,-,-,-,-,-,-,-,30,54.5,-,-,*,*,-,-
02321,"Laughlin Jr/Sr High School",2022-2023,2021-2022,48,39,81.2,-,-,-,-,-,-,-,-,29,60.4,-,-,*,*,-,-
02321,"Laughlin Jr/Sr High School",2023-2024,2022-2023,54,45,83.3,-,-,10,18.5,-,-,11,20.3,24,44.4,-,-,*,*,-,-
02321,"Laughlin JR/SR High School",2024-2025,2023-2024,46,38,82.6,-,-,-,-,-,-,-,-,30,65.2,-,-,*,*,-,-
02321,"Laughlin JR/SR High School",2025-2026,2024-2025,34,28,82.3,-,-,-,-,-,-,-,-,20,58.8,-,-,*,*,-,-
02330,"West Prepatory Academy at Charles I West Hall",2014-2015,2013-2014,60,57,95.0,-,-,11,18.3,*,*,*,*,46,76.6,-,-,-,-,-,-
02330,"West Preparatory Academy at Charles I West Hall",2015-2016,2014-2015,71,68,>95,-,-,-,-,*,*,*,*,59,83.0,-,-,*,*,-,-
02330,"West Preparatory Academy at Charles I West Hall",2016-2017,2015-2016,51,49,>95,-,-,-,-,*,*,*,*,40,78.4,-,-,*,*,-,-
02330,"West Preparatory Academy at Charles I West Hall",2017-2018,2016-2017,71,70,>95,-,-,-,-,*,*,*,*,62,87.3,-,-,*,*,-,-
02330,"West Preparatory Academy at Charles I West Hall",2018-2019,2017-2018,65,64,>95,-,-,-,-,-,-,-,-,58,89.2,-,-,*,*,-,-
02330,"West Preparatory Academy at Charles I West Hall",2019-2020,2018-2019,86,86,>95,-,-,12,13.9,-,-,-,-,67,77.9,-,-,*,*,-,-
02330,"West Preparatory Academy at Charles I West Hall",2020-2021,2019-2020,86,82,>95,-,-,-,-,-,-,16,18.6,60,69.7,-,-,*,*,-,-
