"Group Summary Report"
"Cohort 4Yr Graduation Rates (Reported for Prior School Year)"

"Organization Code",Group,"Accountability Year","Graduating Class of","Total Students","Total Graduates","Graduation Rate","# Total Adult Diploma","% Adult Diploma","# Total Advanced Diploma","% Advanced Diploma","# Total Alternative Diploma","% Alternative Diploma","# Total College and Career Ready Diploma","% College and Career Ready Diploma","# Total Standard Diploma","% Standard Diploma","# Total Adjusted Diploma","% Adjusted Diploma","# Certificates of Attendance","% Certificates of Attendance","# HSE","% HSE"
00,State,2014-2015,2013-2014,34201,23941,70.0,507,1.4,7069,20.6,*,*,*,*,16083,47.0,1145,3.3,28,<0.1,111,0.3
00,Female,2014-2015,2013-2014,16772,12340,73.5,194,1.1,4338,25.8,*,*,*,*,7655,45.6,460,2.7,14,<0.3,35,<0.3
00,Male,2014-2015,2013-2014,17429,11601,66.5,313,1.7,2731,15.6,*,*,*,*,8428,48.3,685,3.9,14,<0.3,76,0.4
00,"American Indian / Alaskan Native",2014-2015,2013-2014,386,202,52.3,-,-,36,9.3,*,*,*,*,164,42.4,23,5.9,-,-,-,-
00,Black,2014-2015,2013-2014,3551,1913,53.8,59,1.6,279,7.8,*,*,*,*,1537,43.2,215,6.0,-,-,10,<0.3
00,Hispanic,2014-2015,2013-2014,12744,8231,64.5,180,1.4,1655,12.9,*,*,*,*,6323,49.6,463,3.6,13,<0.3,26,<0.3
00,White,2014-2015,2013-2014,13181,10137,76.9,215,1.6,3760,28.5,*,*,*,*,6021,45.6,351,2.6,11,<0.3,66,0.5
00,"Two or More Races",2014-2015,2013-2014,1770,1339,75.6,25,<3,401,22.6,*,*,*,*,890,50.2,42,<3,-,-,-,-
00,Asian,2014-2015,2013-2014,2119,1787,84.3,18,<3,855,40.3,*,*,*,*,911,42.9,40,<3,-,-,-,-
00,"Pacific Islander",2014-2015,2013-2014,449,332,73.9,-,-,83,18.4,*,*,*,*,237,52.7,11,<3,-,-,-,-
00,"Unknown Race/Ethnicity",2014-2015,2013-2014,-,-,-,-,-,-,-,*,-,*,-,-,-,-,-,-,-,-,-
00,"EVER IEP",2014-2015,2013-2014,3385,933,27.5,28,0.8,95,2.8,*,*,*,*,787,23.2,1116,32.9,-,-,12,0.3
00,"Not EVER IEP",2014-2015,2013-2014,30816,23008,74.6,479,1.5,6974,22.6,*,*,*,*,15296,49.6,29,<0.1,24,<0.1,99,0.3
00,"EVER EL",2014-2015,2013-2014,2505,716,28.5,19,<3,124,4.9,*,*,*,*,570,22.7,243,9.7,-,-,-,-
00,"Not EVER EL",2014-2015,2013-2014,31696,23225,73.2,488,1.5,6945,21.9,*,*,*,*,15513,48.9,902,2.8,25,<0.1,111,0.3
00,"EVER FRL",2014-2015,2013-2014,17960,11414,63.5,304,1.6,2272,12.6,*,*,*,*,8671,48.2,780,4.3,-,-,61,0.3
00,"Not EVER FRL",2014-2015,2013-2014,16241,12527,77.1,203,1.2,4797,29.5,*,*,*,*,7412,45.6,365,2.2,19,<0.3,50,0.3
00,"EVER MIG",2014-2015,2013-2014,-,-,-,-,-,-,-,*,-,*,-,-,-,-,-,-,-,-,-
00,"Not EVER MIG",2014-2015,2013-2014,34193,23939,70.0,506,1.4,7069,20.6,*,*,*,*,16081,47.0,1145,3.3,28,<0.1,111,0.3
00,"EVER CTE Concentrator",2014-2015,2013-2014,10195,7759,76.1,346,3.3,2114,20.7,*,*,*,*,5075,49.7,212,2.0,15,<0.3,40,0.3
00,"Not EVER CTE Concentrator",2014-2015,2013-2014,24006,16182,67.4,161,0.6,4955,20.6,*,*,*,*,11008,45.8,933,3.8,13,<0.3,71,<0.3
00,"Unknown EVER CTE Completer",2014-2015,2013-2014,34201,23941,70.0,507,1.4,7069,20.6,*,*,*,*,16083,47.0,1145,3.3,28,<0.1,111,0.3
00,"Unknown EVER Military",2014-2015,2013-2014,34201,23941,70.0,507,1.4,7069,20.6,*,*,*,*,16083,47.0,1145,3.3,28,<0.1,111,0.3
00,Unknown,2014-2015,2013-2014,34201,23941,70.0,507,1.4,7069,20.6,*,*,*,*,16083,47.0,1145,3.3,28,<0.1,111,0.3
00,Unknown,2014-2015,2013-2014,34201,23941,70.0,507,1.4,7069,20.6,*,*,*,*,16083,47.0,1145,3.3,28,<0.1,111,0.3
00,State,2015-2016,2014-2015,33995,24247,71.3,410,1.2,7447,21.9,*,*,*,*,16396,48.2,1210,3.5,*,*,58,0.1
00,Female,2015-2016,2014-2015,16646,12531,75.2,172,1.0,4624,27.7,*,*,*,*,7740,46.4,480,2.8,*,*,14,<0.3
00,Male,2015-2016,2014-2015,17349,11716,67.5,238,1.3,2823,16.2,*,*,*,*,8656,49.8,730,4.2,*,*,44,<0.3
00,"American Indian / Alaskan Native",2015-2016,2014-2015,400,233,58.2,-,-,42,10.5,*,*,*,*,189,47.2,26,6.5,*,*,-,-
00,Black,2015-2016,2014-2015,3606,2000,55.4,48,1.3,315,8.7,*,*,*,*,1637,45.3,223,6.1,*,*,-,-
00,Hispanic,2015-2016,2014-2015,12845,8568,66.7,155,1.2,1803,14.0,*,*,*,*,6612,51.4,463,3.6,*,*,14,<0.3
00,White,2015-2016,2014-2015,12687,9899,78.0,144,1.1,3857,30.4,*,*,*,*,5902,46.5,377,2.9,*,*,34,<0.3
00,"Two or More Races",2015-2016,2014-2015,1773,1341,75.6,27,<3,412,23.2,*,*,*,*,902,50.8,64,3.6,*,*,-,-
00,Asian,2015-2016,2014-2015,2207,1870,84.7,28,<3,935,42.3,*,*,*,*,907,41.0,42,<3,*,*,-,-
00,"Pacific Islander",2015-2016,2014-2015,473,336,71.0,-,-,83,17.5,*,*,*,*,247,52.2,15,3.1,*,*,-,-
00,"Unknown Race/Ethnicity",2015-2016,2014-2015,-,-,-,-,-,-,-,*,-,*,-,-,-,-,-,*,-,-,-
00,"EVER IEP",2015-2016,2014-2015,3580,1037,28.9,13,0.3,142,3.9,*,*,*,*,883,24.6,1200,33.5,*,*,-,-
00,"Not EVER IEP",2015-2016,2014-2015,30415,23210,76.3,397,1.3,7305,24.0,*,*,*,*,15513,51.0,10,<0.1,*,*,53,0.1
00,"EVER EL",2015-2016,2014-2015,2833,908,32.0,16,<3,159,5.6,*,*,*,*,733,25.8,312,11.0,*,*,-,-
00,"Not EVER EL",2015-2016,2014-2015,31162,23339,74.8,394,1.2,7288,23.3,*,*,*,*,15663,50.2,898,2.8,*,*,58,0.1
00,"EVER FRL",2015-2016,2014-2015,20774,13229,63.6,279,1.3,2884,13.8,*,*,*,*,10069,48.4,921,4.4,*,*,38,<0.3
00,"Not EVER FRL",2015-2016,2014-2015,13221,11018,83.3,131,0.9,4563,34.5,*,*,*,*,6327,47.8,289,2.1,*,*,20,<0.3
00,"EVER MIG",2015-2016,2014-2015,42,19,45.2,-,-,-,-,*,*,*,*,14,33.3,-,-,*,*,-,-
00,"Not EVER MIG",2015-2016,2014-2015,33953,24228,71.3,409,1.2,7443,21.9,*,*,*,*,16382,48.2,1207,3.5,*,*,58,0.1
