Organization Code,Group,class_year,Total Students,Total Graduates,Graduation Rate,suppressed_or_missing
16608,Academy of Career Education Charter School,2013-14,48,38,79.1,False
16312,Coral Academy Charter School Secondary,2013-14,42,34,80.9,False
02616,Explore Knowledge Academy Charter Secondary,2013-14,19,14,73.6,False
02363,Innovations International Charter School of NV ,2013-14,35,26,74.2,False
02614,Odyssey Charter High School,2013-14,383,201,52.4,False
18,State Charters,2013-14,922,498,54.0,False
16610,enCompass Academy,2013-14,45,15,33.3,False
16608,Academy of Career Education Charter School,2014-15,43,39,90.6,False
16312,Coral Academy Charter School Secondary,2014-15,29,23,79.3,False
02616,Explore Knowledge Academy Charter Secondary,2014-15,10,-,-,True
02363,Innovations International Charter School of NV ,2014-15,21,11,52.3,False
04610,Northeastern Nevada Virtual Academy,2014-15,17,12,70.5,False
02614,Odyssey Charter High School,2014-15,442,260,58.8,False
18,State Charters,2014-15,919,551,59.9,False
16610,enCompass Academy,2014-15,40,10,25.0,False
16608,Academy of Career Education Charter School,2015-16,47,45,>95,True
16312,Coral Academy Charter School Secondary,2015-16,33,29,87.8,False
02616,Explore Knowledge Academy Charter Secondary,2015-16,13,12,92.3,False
16510,Innovations High School,2015-16,69,21,30.4,False
02363,Innovations International Charter School of NV ,2015-16,30,16,53.3,False
04610,Northeastern Nevada Virtual Academy,2015-16,21,12,57.1,False
02614,Odyssey Charter High School,2015-16,427,264,61.8,False
18,State Charters,2015-16,1187,695,58.5,False
16610,enCompass Academy,2015-16,38,11,28.9,False
16608,Academy of Career Education Charter School,2016-17,49,46,93.8,False
76412,Alpine Academy High School,2016-17,17,15,88.2,False
89409,Beacon Academy of Nevada,2016-17,257,153,59.5,False
16312,Coral Academy High School,2016-17,33,33,>95,True
02616,Explore Knowledge Academy Charter Secondary,2016-17,21,16,76.1,False
16510,Innovations High School,2016-17,61,36,59.0,False
02363,Innovations International Charter School of NV ,2016-17,32,25,78.1,False
85405,Nevada Connections Academy,2016-17,564,254,45.0,False
86404,Nevada Virtual Academy,2016-17,196,165,84.1,False
04610,Northeastern Nevada Virtual Academy,2016-17,10,-,-,True
02614,Odyssey Charter High School,2016-17,465,371,79.7,False
18,State Charters,2016-17,1495,976,65.2,False
16610,enCompass Academy ,2016-17,32,-,-,True
