class_year,slice,schools,unweighted,weighted_from_counts,weighted_minus_published_avg,weighted_rows,missing_rows,missing_cohort,known_cohort
2013-14,spcsa_adjusted_charter_only,7,57.61,47.02,-10.6,7,0,0.0,2950.0
2013-14,spcsa_brick_mortar,3,67.02,50.94,-16.08,3,0,0.0,477.0
2013-14,spcsa_general_ed_virtual,2,43.1,47.32,4.22,2,0,0.0,1830.0
2013-14,spcsa_alternative,2,58.02,43.23,-14.79,2,0,0.0,643.0
2013-14,clark_charter_total,4,54.05,49.41,-4.64,4,0,0.0,512.0
2013-14,clark_brick_mortar,4,54.05,49.41,-4.64,4,0,0.0,512.0
2013-14,washoe_charter_total,4,54.68,46.94,-7.74,4,0,0.0,245.0
2013-14,washoe_brick_mortar,2,80.0,80.0,0.0,2,0,0.0,90.0
2013-14,washoe_alternative_watchlist,2,29.35,27.74,-1.61,2,0,0.0,155.0
2014-15,spcsa_adjusted_charter_only,8,62.36,54.01,-8.35,8,0,0.0,922.0
2014-15,spcsa_brick_mortar,4,62.8,56.13,-6.67,4,0,0.0,326.0
2014-15,spcsa_general_ed_virtual,2,46.85,47.85,1.0,2,0,0.0,441.0
2014-15,spcsa_alternative,2,77.0,67.1,-9.9,2,0,0.0,155.0
2014-15,clark_charter_total,3,42.73,49.58,6.84,3,0,0.0,591.0
2014-15,clark_brick_mortar,3,42.73,49.58,6.84,3,0,0.0,591.0
2014-15,washoe_charter_total,4,55.85,47.0,-8.85,4,0,0.0,217.0
2014-15,washoe_brick_mortar,2,84.95,86.11,1.16,2,0,0.0,72.0
2014-15,washoe_alternative_watchlist,2,26.75,27.59,0.84,2,0,0.0,145.0
2015-16,spcsa_adjusted_charter_only,7,74.06,60.11,-13.95,7,0,0.0,910.0
2015-16,spcsa_brick_mortar,3,89.73,95.52,5.78,3,0,0.0,223.0
2015-16,spcsa_general_ed_virtual,2,49.55,45.44,-4.11,2,0,0.0,515.0
2015-16,spcsa_alternative,2,75.05,58.14,-16.91,2,0,0.0,172.0
2015-16,clark_charter_total,4,56.52,51.95,-4.57,4,0,0.0,614.0
2015-16,clark_brick_mortar,4,56.52,51.95,-4.57,4,0,0.0,614.0
2015-16,washoe_charter_total,4,59.48,50.23,-9.24,4,0,0.0,215.0
2015-16,washoe_brick_mortar,2,92.65,92.5,-0.15,2,0,0.0,80.0
2015-16,washoe_alternative_watchlist,2,26.3,25.19,-1.11,2,0,0.0,135.0
2016-17,spcsa_adjusted_charter_only,8,70.53,58.18,-12.34,8,0,0.0,1167.0
2016-17,spcsa_brick_mortar,4,79.82,80.61,0.78,4,0,0.0,330.0
2016-17,spcsa_general_ed_virtual,2,53.7,46.3,-7.4,2,0,0.0,568.0
2016-17,spcsa_alternative,2,68.75,55.76,-12.99,2,0,0.0,269.0
2016-17,clark_charter_total,4,66.6,70.17,3.57,4,0,0.0,647.0
2016-17,clark_brick_mortar,3,77.97,79.54,1.57,3,0,0.0,518.0
2016-17,clark_alternative,1,32.5,32.56,0.06,1,0,0.0,129.0
2016-17,washoe_charter_total,3,74.1,60.44,-13.66,3,0,0.0,182.0
2016-17,washoe_brick_mortar,2,95.65,96.34,0.69,2,0,0.0,82.0
2016-17,washoe_alternative_watchlist,1,31.0,31.0,0.0,1,0,0.0,100.0
