class_year,school_name,entity_id,authorizer_for_year,model_type,year_universe_bucket,acgr_recovery_bucket,count_in_legacy_sector_totals,notes
2016-17,Academy for Career Education Charter,16608,Washoe County School District,brick_and_mortar,in_universe_needs_year_verification,legacy_row_not_yet_recovered,hold,Legally in the Washoe charter universe but 2016-17 school-level ACGR row still needs direct recovery.
2017-18,Academy for Career Education Charter,16608,Washoe County School District,brick_and_mortar,confirmed_charter_high_school,school_level_acgr_recovered,yes,Verified in the 2017-18 annual ACGR file.
2018-19,Academy for Career Education Charter,16608,Washoe County School District,brick_and_mortar,confirmed_charter_high_school,school_level_acgr_recovered,yes,Verified in the 2018-19 annual ACGR file.
2019-20,Academy for Career Education Charter,16608,Washoe County School District,brick_and_mortar,confirmed_charter_high_school,grade12_present_acgr_not_yet_recovered,hold,Still belongs in the Washoe charter universe and the 2019-2020 enrollment workbook shows 52 grade 12 students at entity 16608, but the 2019-20 ACGR row has not yet been cleanly recovered.
2016-17,Coral Academy of Science Charter,16312,Washoe County School District,brick_and_mortar,in_universe_needs_year_verification,legacy_row_not_yet_recovered,hold,Legally in the Washoe charter universe but 2016-17 school-level ACGR row still needs direct recovery.
2017-18,Coral Academy of Science Charter,16312,Washoe County School District,brick_and_mortar,confirmed_charter_high_school,school_level_acgr_recovered,yes,Verified in the 2017-18 annual ACGR file.
2018-19,Coral Academy of Science Charter,16312,Washoe County School District,brick_and_mortar,confirmed_charter_high_school,school_level_acgr_recovered,yes,Verified in the 2018-19 annual ACGR file.
2019-20,Coral Academy of Science Charter,16312,Washoe County School District,brick_and_mortar,confirmed_charter_high_school,school_level_acgr_recovered,yes,Verified in the 2019-20 annual ACGR file.
2016-17,ICDA Charter HS,16604,Washoe County School District,alternative_watchlist,in_universe_needs_year_verification,legacy_row_not_yet_recovered,hold,Legally in the Washoe charter universe but 2016-17 school-level ACGR row still needs direct recovery.
2017-18,ICDA Charter HS,16604,Washoe County School District,alternative_watchlist,confirmed_charter_high_school,school_level_acgr_recovered,yes,Verified in the 2017-18 annual ACGR file under the I Can Do Anything name.
2018-19,ICDA Charter HS,16604,Washoe County School District,alternative_watchlist,confirmed_charter_high_school,school_level_acgr_recovered,yes,Verified in the 2018-19 annual ACGR file under the I Can Do Anything name.
2019-20,ICDA Charter HS,16604,Washoe County School District,alternative_watchlist,confirmed_charter_high_school,school_level_acgr_recovered,yes,Verified in the 2019-20 annual ACGR file under the I Can Do Anything name.
2016-17,Rainshadow CCHS,16610,Washoe County School District,alternative_watchlist,in_universe_crosswalk_pending,legacy_row_not_yet_recovered,hold,Treat as the pre-enCompass charter entity but hold until the Rainshadow to enCompass crosswalk is pinned down.
2017-18,Rainshadow CCHS,16610,Washoe County School District,alternative_watchlist,confirmed_charter_high_school,school_level_acgr_recovered,yes,Entity 16610 appears in the annual ACGR material under the enCompass reporting name.
2018-19,Rainshadow CCHS,16610,Washoe County School District,alternative_watchlist,confirmed_charter_high_school,school_level_acgr_recovered,yes,Entity 16610 appears in the annual ACGR material under the enCompass reporting name.
2019-20,Rainshadow CCHS,16610,Washoe County School District,alternative_watchlist,in_universe_crosswalk_pending,school_level_acgr_recovered_via_entity_match,yes,Count once through entity 16610 while keeping the Rainshadow to enCompass naming transition explicit; the annual reporting name appears as enCompass Academy.
2017-18,Innovations Int'l Charter J-SHS,02363,Clark County School District,brick_and_mortar,confirmed_charter_high_school,school_level_acgr_recovered,yes,Verified in the official 2017-18 annual ACGR file.
2018-19,Innovations Int'l Charter J-SHS,02363,Clark County School District,brick_and_mortar,confirmed_charter_high_school,grade12_present_acgr_not_yet_recovered,hold,Modern Clark charter school and the 2018-2019 enrollment workbook shows 25 grade 12 students at entity 02363, but the 2018-19 ACGR row still needs direct recovery.
2019-20,Innovations Int'l Charter J-SHS,02363,Clark County School District,brick_and_mortar,confirmed_charter_high_school,school_level_acgr_recovered,yes,Verified in the 2019-20 annual ACGR file.
2017-18,Odyssey Charter Schools 9-12 HS,02614,Clark County School District,brick_and_mortar,confirmed_charter_high_school,school_level_acgr_recovered,yes,Verified in the official 2017-18 annual ACGR file.
2018-19,Odyssey Charter Schools 9-12 HS,02614,Clark County School District,brick_and_mortar,confirmed_charter_high_school,school_level_acgr_recovered,yes,Verified in the 2018-19 annual ACGR file.
2019-20,Odyssey Charter Schools 9-12 HS,02614,Clark County School District,brick_and_mortar,confirmed_charter_high_school,school_level_acgr_recovered,yes,Verified in the 2019-20 annual ACGR file.
2017-18,Explore Knowledge Academy J-SHS,02616,Clark County School District,brick_and_mortar,confirmed_charter_high_school,school_level_acgr_recovered,yes,Verified in the official 2017-18 annual ACGR file.
2018-19,Explore Knowledge Academy J-SHS,02616,Clark County School District,brick_and_mortar,confirmed_charter_high_school,school_level_acgr_recovered,yes,Verified in the 2018-19 annual ACGR file.
2019-20,Explore Knowledge Academy J-SHS,02616,Clark County School District,brick_and_mortar,confirmed_charter_high_school,school_level_acgr_recovered,yes,Verified in the 2019-20 annual ACGR file.
2017-18,The Delta Academy J-SHS,02621,Clark County School District,alternative_watchlist,confirmed_charter_high_school,school_level_acgr_recovered,yes,Verified in the official 2017-18 annual ACGR file.
