class_year,school_name,entity_id,sponsor_bucket,charter_authorizer,model_type,reported_as_high_school,acgr_row_present,published_rate_status,latest_confirmed_in_grad_materials,base_reference,rate_source_url,published_overall_acgr,published_overall_acgr_code,rate_low,rate_mid,rate_high,cohort_count,graduate_count,weight_source,include_in_sector_total,notes
2013-14,Argent Preparatory Academy,18400,SPCSA,State Public Charter School Authority,brick_and_mortar,yes,yes,numeric,2013-14,Nevada Report Card cohort portal school report,https://nevadareportcard.nv.gov/di/report/reportcard_1?report=reportcard_1&scope=e20.y11&organization=c9009&fields=309%2C310%2C311%2C313%2C318%2C320&hiddenfieldsid=309%2C310%2C311%2C313%2C318%2C320&scores=1007%2C1015&num=160&page=1&pagesize=20&domain=cohort&,22.16,numeric,22.16,22.16,22.16,291,65,Nevada Report Card cohort portal school report,yes,Legacy SPCSA row reported as SSCS in the Nevada Report Card cohort portal and crosswalked here to the Silver State / Argent history.
2013-14,NSHS Legacy Single-Campus,18401,SPCSA,State Public Charter School Authority,brick_and_mortar,yes,yes,numeric,2013-14,Nevada Report Card cohort portal school report,https://nevadareportcard.nv.gov/di/report/reportcard_1?report=reportcard_1&scope=e20.y11&organization=c9009&fields=309%2C310%2C311%2C313%2C318%2C320&hiddenfieldsid=309%2C310%2C311%2C313%2C318%2C320&scores=1007%2C1015&num=160&page=1&pagesize=20&domain=cohort&,98.9,numeric,98.9,98.9,98.9,154,152,Nevada Report Card cohort portal school report,yes,Legacy Nevada State High School row before later campus-level expansion.
2013-14,Nevada Virtual Charter,18404,SPCSA,State Public Charter School Authority,statewide_online,yes,yes,numeric,2013-14,Nevada Report Card cohort portal school report,https://nevadareportcard.nv.gov/di/report/reportcard_1?report=reportcard_1&scope=e20.y11&organization=c9009&fields=309%2C310%2C311%2C313%2C318%2C320&hiddenfieldsid=309%2C310%2C311%2C313%2C318%2C320&scores=1007%2C1015&num=160&page=1&pagesize=20&domain=cohort&,52.29,numeric,52.29,52.29,52.29,1339,700,Nevada Report Card cohort portal school report,yes,Recovered from the Nevada Report Card cohort portal as Nevada Virtual Academy.
2013-14,Nevada Connections Acad,18405,SPCSA,State Public Charter School Authority,statewide_online,yes,yes,numeric,2013-14,Nevada Report Card cohort portal school report,https://nevadareportcard.nv.gov/di/report/reportcard_1?report=reportcard_1&scope=e20.y11&organization=c9009&fields=309%2C310%2C311%2C313%2C318%2C320&hiddenfieldsid=309%2C310%2C311%2C313%2C318%2C320&scores=1007%2C1015&num=160&page=1&pagesize=20&domain=cohort&,33.91,numeric,33.91,33.91,33.91,491,166,Nevada Report Card cohort portal school report,yes,Recovered from the Nevada Report Card cohort portal as Nevada Connections Academy.
2013-14,Quest Academy,18408,SPCSA,State Public Charter School Authority,brick_and_mortar,yes,yes,numeric,2013-14,Nevada Report Card cohort portal school report,https://nevadareportcard.nv.gov/di/report/reportcard_1?report=reportcard_1&scope=e20.y11&organization=c9009&fields=309%2C310%2C311%2C313%2C318%2C320&hiddenfieldsid=309%2C310%2C311%2C313%2C318%2C320&scores=1007%2C1015&num=160&page=1&pagesize=20&domain=cohort&,80,numeric,80.0,80.0,80.0,32,26,Nevada Report Card cohort portal school report,yes,Legacy SPCSA school recovered from the Nevada Report Card cohort portal; crosswalk to later entities remains unresolved.
2013-14,Beacon Acad,18409,SPCSA,State Public Charter School Authority,alternative,yes,yes,numeric,2013-14,Nevada Report Card cohort portal school report,https://nevadareportcard.nv.gov/di/report/reportcard_1?report=reportcard_1&scope=e20.y11&organization=c9009&fields=309%2C310%2C311%2C313%2C318%2C320&hiddenfieldsid=309%2C310%2C311%2C313%2C318%2C320&scores=1007%2C1015&num=160&page=1&pagesize=20&domain=cohort&,37.61,numeric,37.61,37.61,37.61,555,209,Nevada Report Card cohort portal school report,yes,Recovered from the Nevada Report Card cohort portal as Beacon Academy of Nevada.
2013-14,Alpine Acad,18412,SPCSA,State Public Charter School Authority,alternative,yes,yes,numeric,2013-14,Nevada Report Card cohort portal school report,https://nevadareportcard.nv.gov/di/report/reportcard_1?report=reportcard_1&scope=e20.y11&organization=c9009&fields=309%2C310%2C311%2C313%2C318%2C320&hiddenfieldsid=309%2C310%2C311%2C313%2C318%2C320&scores=1007%2C1015&num=160&page=1&pagesize=20&domain=cohort&,78.43,numeric,78.43,78.43,78.43,88,69,Nevada Report Card cohort portal school report,yes,Recovered from the Nevada Report Card cohort portal as Alpine Academy.
2013-14,Innovations Int'l Charter J-SHS,02363,district_authorized,Clark County School District,brick_and_mortar,yes,yes,numeric,2013-14,Nevada Report Card cohort4yr portal school report,https://nevadareportcard.nv.gov/di/report/summary_4?report=summary_4&scope=e32.y12.y23&organization=c32861&scores=n_Total%2Cn_Graduate%2CGraduation_Rate%2Cn_AdultDiploma%2CAdultDiploma_Rate%2Cn_AdvancedDiploma%2CAdvancedDiploma_Rate%2Cn_AlternativeDiploma%2CAlternativeDiploma_Rate%2Cn_ClgandcareerreadyDiploma%2CClgandcareerreadyDiploma_Rate%2Cn_StandardDiploma%2CStandardDiploma_Rate%2Cn_AdjustedDiploma%2CAdjustedDiploma_Rate%2Cn_CertHSA%2CCertHSA_Rate%2Cn_HSE%2CHSE_Rate&num=500&page=1&pagesize=500&domain=cohort4yr&,74.2,numeric,74.2,74.2,74.2,35,26,Nevada Report Card cohort4yr portal school report,yes,Recovered from the Nevada Report Card cohort4yr portal as Innovations International Charter School of NV.
2013-14,Odyssey Charter Schools 9-12 HS,02614,district_authorized,Clark County School District,brick_and_mortar,yes,yes,numeric,2013-14,Nevada Report Card cohort4yr portal school report,https://nevadareportcard.nv.gov/di/report/summary_4?report=summary_4&scope=e32.y12.y23&organization=c32861&scores=n_Total%2Cn_Graduate%2CGraduation_Rate%2Cn_AdultDiploma%2CAdultDiploma_Rate%2Cn_AdvancedDiploma%2CAdvancedDiploma_Rate%2Cn_AlternativeDiploma%2CAlternativeDiploma_Rate%2Cn_ClgandcareerreadyDiploma%2CClgandcareerreadyDiploma_Rate%2Cn_StandardDiploma%2CStandardDiploma_Rate%2Cn_AdjustedDiploma%2CAdjustedDiploma_Rate%2Cn_CertHSA%2CCertHSA_Rate%2Cn_HSE%2CHSE_Rate&num=500&page=1&pagesize=500&domain=cohort4yr&,52.4,numeric,52.4,52.4,52.4,383,201,Nevada Report Card cohort4yr portal school report,yes,Recovered from the Nevada Report Card cohort4yr portal as Odyssey Charter High School.
2013-14,Explore Knowledge Academy J-SHS,02616,district_authorized,Clark County School District,brick_and_mortar,yes,yes,numeric,2013-14,Nevada Report Card cohort4yr portal school report,https://nevadareportcard.nv.gov/di/report/summary_4?report=summary_4&scope=e32.y12.y23&organization=c32861&scores=n_Total%2Cn_Graduate%2CGraduation_Rate%2Cn_AdultDiploma%2CAdultDiploma_Rate%2Cn_AdvancedDiploma%2CAdvancedDiploma_Rate%2Cn_AlternativeDiploma%2CAlternativeDiploma_Rate%2Cn_ClgandcareerreadyDiploma%2CClgandcareerreadyDiploma_Rate%2Cn_StandardDiploma%2CStandardDiploma_Rate%2Cn_AdjustedDiploma%2CAdjustedDiploma_Rate%2Cn_CertHSA%2CCertHSA_Rate%2Cn_HSE%2CHSE_Rate&num=500&page=1&pagesize=500&domain=cohort4yr&,73.6,numeric,73.6,73.6,73.6,19,14,Nevada Report Card cohort4yr portal school report,yes,Recovered from the Nevada Report Card cohort4yr portal as Explore Knowledge Academy Charter Secondary.
