Year,District Code,District Name,NSPF School Code,School Name,School Type,Total Index Score,Star Rating,Title I Status,% Proficient ELA,% Proficient Math,% Proficient Science,95% Participation Met Mathematics,95% Participation Met ELA,% Meeting AGP ELA,% Meeting AGP Math,% Meeting AGP EL,NAC 389.445 Credit Requirements (8th Grade),9th Grade Credit Sufficiency,CCR Participation,CCR Completion,Advanced Diploma,4-Year Graduation Rate,5-Year Graduation Rate,Chronic Absenteeism,CSI,Yrs In Designation As CSI,TSI,ATSI,Yrs In Designation As ATSI,CSI-MRI,Yrs In Designation As CSI-MRI
2026,13,Carson City,13201.1,Bordewich Bray ES,Regular,44,2,YES,43,37.2,19.7,YES,YES,49,30.4,43.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.8,NO,N/A,NO,NO,N/A,NO,N/A
2026,13,Carson City,13203.1,Fritsch ES,Regular,74.5,4,YES,46.8,46,35.8,YES,YES,60.1,51.1,69.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12.3,NO,N/A,NO,NO,N/A,NO,N/A
2026,13,Carson City,13204.1,Fremont ES,Regular,33,2,YES,31.9,36.1,11,YES,YES,36.6,29.5,51.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13.5,NO,N/A,NO,NO,N/A,NO,N/A
2026,13,Carson City,13207.1,Seeliger ES,Regular,69.5,4,YES,47.8,44.5,20.2,YES,YES,55.3,50,55.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.4,NO,N/A,NO,NO,N/A,NO,N/A
2026,13,Carson City,13209.1,Empire ES,Regular,20.5,1,YES,29.7,20.2,13.6,YES,YES,28.3,18.7,43.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15.7,NO,N/A,NO,NO,N/A,NO,N/A
2026,13,Carson City,13211.1,Mark Twain ES,Regular,34.5,2,YES,33.7,28.3,12.9,YES,YES,34.6,28,53.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12.3,NO,N/A,NO,NO,N/A,NO,N/A
2026,13,Carson City,13212.1,Carson Montessori ES,Regular,57.7,3,NO,41,27.6,33.3,YES,YES,49.3,44.8,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10.1,NO,N/A,NO,NO,N/A,NO,N/A
2026,13,Carson City,13301.2,Carson MS,Regular,40,2,NO,40.6,29.6,31.7,NO,NO,40.3,30.3,11.6,92.3,N/A,N/A,N/A,N/A,N/A,N/A,28,NO,N/A,NO,YES,2,NO,N/A
2026,13,Carson City,13302.2,Eagle Valley MS,Regular,31.5,2,NO,34.5,20.5,29.4,YES,YES,34.6,18.8,23.2,81,N/A,N/A,N/A,N/A,N/A,N/A,22.8,NO,N/A,NO,YES,1,NO,N/A
2026,13,Carson City,13501.3,Carson HS,Regular,67.5,3,NO,45,24.7,24,YES,YES,N/A,N/A,7.1,N/A,88,72.6,69.6,43.3,88.3,89.9,33.7,NO,N/A,NO,NO,N/A,NO,N/A
