Year,District Code,District Name,NSPF School Code,School Name,School Type,Total Index Score,Star Rating,Title I Status,% Proficient ELA,% Proficient Math,% Proficient Science,95% Participation Met Mathematics,95% Participation Met ELA,% Meeting AGP ELA,% Meeting AGP Math,% Meeting AGP EL,NAC 389.445 Credit Requirements (8th Grade),9th Grade Credit Sufficiency,CCR Participation,CCR Completion,Advanced Diploma,4-Year Graduation Rate,5-Year Graduation Rate,Chronic Absenteeism,CSI,Yrs In Designation As CSI,TSI,ATSI,Yrs In Designation As ATSI,CSI-MRI,Yrs In Designation As CSI-MRI
2026,02,Clark,02060.1,Thompson T ES,Regular,73.5,4,NO,69.5,61.2,28.2,NO,NO,62.5,52.5,48.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12.5,NO,N/A,NO,NO,N/A,NO,N/A
2026,02,Clark,02061.1,Abston ES,Regular,54,3,YES,52.6,45.3,9.1,NO,YES,59,37.4,58.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20.4,NO,N/A,NO,NO,N/A,NO,N/A
2026,02,Clark,02062.1,Jenkins ES,Regular,49.5,2,YES,53,47.9,18.5,YES,YES,49.7,36.9,60.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17.6,NO,N/A,NO,YES,1,NO,N/A
2026,02,Clark,02064.1,Ellis ES,Regular,68,4,NO,66.7,57.1,18.8,YES,YES,62.4,42.1,52.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13.6,NO,N/A,NO,YES,2,NO,N/A
2026,02,Clark,02065.1,Ortwein ES,Regular,44.5,2,NO,54.1,42.7,15.3,YES,YES,53.2,35.9,35.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19.6,NO,N/A,NO,NO,N/A,NO,N/A
2026,02,Clark,02066.1,Barber ES,Regular,72,4,YES,63.6,52.3,29.3,YES,YES,67.6,46.2,67.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23,NO,N/A,NO,NO,N/A,NO,N/A
2026,02,Clark,02067.1,Divich ES,Regular,76.5,4,NO,64.4,60.9,26.6,YES,YES,58.7,50.7,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,NO,N/A,NO,NO,N/A,NO,N/A
2026,02,Clark,02068.1,Jones Blackhurst ES,Regular,76.5,4,NO,67.9,64.7,36.7,YES,YES,66.4,50.9,43.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.8,NO,N/A,NO,NO,N/A,NO,N/A
2026,02,Clark,02069.1,Vassiliadis ES,Regular,81.5,4,NO,80.3,78.2,57.4,YES,YES,71.1,59.2,72.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.1,NO,N/A,NO,NO,N/A,NO,N/A
2026,02,Clark,02070.1,Berkley ES,Regular,69,4,NO,62.8,53,27.3,YES,YES,61.6,47.4,41.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11.3,NO,N/A,NO,NO,N/A,NO,N/A
