Year,District Code,District Name,NSPF School Code,School Name,School Type,Total Index Score,Star Rating,Title I Status,% Proficient ELA,% Proficient Math,% Proficient Science,95% Participation Met Mathematics,95% Participation Met ELA,% Meeting AGP ELA,% Meeting AGP Math,% Meeting AGP EL,NAC 389.445 Credit Requirements (8th Grade),9th Grade Credit Sufficiency,CCR Participation,CCR Completion,Advanced Diploma,4-Year Graduation Rate,5-Year Graduation Rate,Chronic Absenteeism,CSI,Yrs In Designation As CSI,TSI,ATSI,Yrs In Designation As ATSI,CSI-MRI,Yrs In Designation As CSI-MRI
2026,18,"State Public Charter School Authority ",101101.1,NV Rise CS ES,Regular,59,3,YES,48.6,39.4,14.2,YES,YES,51.3,37.8,61.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<5,NO,N/A,NO,NO,N/A,NO,N/A
2026,18,"State Public Charter School Authority ",102100.1,NV Prep CS ES,Regular,12.5,1,YES,20,11.4,<5,NO,NO,22.6,12.3,11.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29,YES,2,NO,NO,N/A,NO,N/A
2026,18,"State Public Charter School Authority ",102100.2,NV Prep CS MS,Regular,22.5,1,YES,21.2,16,23.1,YES,NO,23.4,16.7,10.7,<5,N/A,N/A,N/A,N/A,N/A,N/A,31.9,NO,N/A,NO,NO,N/A,NO,N/A
2026,18,"State Public Charter School Authority ",104101.3,NSHS II Meadowwood HS,Regular,96.3,5,NO,92.3,61.5,N/A,YES,YES,N/A,N/A,N/A,N/A,N/A,-,-,-,92.8,>95,11.1,NO,N/A,NO,NO,N/A,NO,N/A
2026,18,"State Public Charter School Authority ",105101.1,Signature Prep CS ES,Regular,68.5,4,YES,58.6,47,18.5,YES,YES,61.9,41.3,65.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<5,NO,N/A,NO,NO,N/A,NO,N/A
2026,18,"State Public Charter School Authority ",105101.2,Signature Prep CS MS,Regular,64.5,3,YES,50.2,24.1,34,YES,YES,53.6,27,28.5,>95,N/A,N/A,N/A,N/A,N/A,N/A,<5,NO,N/A,NO,NO,N/A,NO,N/A
2026,18,"State Public Charter School Authority ",106101.1,Pinecrest Northern NV ES,Regular,96.5,5,NO,61.1,67.7,40.1,YES,YES,77,76.4,70,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.8,NO,N/A,NO,NO,N/A,NO,N/A
2026,18,"State Public Charter School Authority ",106101.2,Pinecrest Northern NV MS,Regular,82,5,NO,58.3,52.1,60.1,YES,YES,54.5,52.4,50,94.3,N/A,N/A,N/A,N/A,N/A,N/A,13.1,NO,N/A,NO,NO,N/A,NO,N/A
2026,18,"State Public Charter School Authority ",107101.2,Explore ACAD MS,Regular,16,1,YES,24.3,9.2,22,YES,YES,24.8,7.5,13.3,>95,N/A,N/A,N/A,N/A,N/A,N/A,29.2,YES,1,NO,NO,N/A,NO,N/A
2026,18,"State Public Charter School Authority ",107101.3,Explore ACAD HS,Regular,34.4,2,YES,42.8,7.1,15.3,YES,YES,N/A,N/A,<5,N/A,87.8,34.7,30.4,-,82.3,-,37.2,NO,N/A,NO,NO,N/A,NO,N/A
2026,18,"State Public Charter School Authority ",110100.1,CIVICA Acad ES,Regular,83,4,YES,53.6,43.2,20.8,YES,YES,68.9,52.7,50.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<5,NO,N/A,NO,NO,N/A,NO,N/A
2026,18,"State Public Charter School Authority ",110100.2,CIVICA Acad MS,Regular,94,5,YES,58,38.4,30,YES,YES,64.2,49.8,60,>95,N/A,N/A,N/A,N/A,N/A,N/A,<5,NO,N/A,NO,NO,N/A,NO,N/A
2026,18,"State Public Charter School Authority ",110100.3,CIVICA Acad HS,Regular,57.7,Not Rated,YES,45.4,<5,7.6,YES,YES,N/A,N/A,21.3,N/A,100,N/A,N/A,N/A,N/A,N/A,<5,NO,N/A,NO,NO,N/A,NO,N/A
2026,18,"State Public Charter School Authority ",111100.1,Sage Collegiate ES,Regular,20.5,1,YES,31.3,22.8,<5,YES,YES,39.5,<5,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19.7,YES,3,NO,NO,N/A,NO,N/A
2026,18,"State Public Charter School Authority ",111100.2,Sage Collegiate MS,Regular,31.6,2,YES,30.9,18.1,23.5,YES,YES,36.5,19.2,-,<5,N/A,N/A,N/A,N/A,N/A,N/A,32.2,NO,N/A,NO,YES,3,NO,N/A
2026,18,"State Public Charter School Authority ",113100.2,YWLA MS,Regular,65.5,3,YES,52.8,22.8,22.7,YES,YES,57.1,26.9,30,83.3,N/A,N/A,N/A,N/A,N/A,N/A,33.8,NO,N/A,NO,YES,3,NO,N/A
2026,18,"State Public Charter School Authority ",113100.3,YWLA HS,Regular,53.3,Not Rated,YES,N/A,N/A,15.3,YES,YES,N/A,N/A,-,N/A,100,N/A,N/A,N/A,N/A,N/A,16.6,NO,N/A,NO,NO,N/A,NO,N/A
2026,18,"State Public Charter School Authority ",115100.1,Strong Start Academy ES,Regular,97,5,YES,84.8,67.4,24,YES,YES,90,52.5,72.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.8,NO,N/A,NO,NO,N/A,NO,N/A
2026,18,"State Public Charter School Authority ",38435.1,Freedom Class ACAD ES,Regular,50.5,3,YES,49.7,40.7,20.6,YES,YES,51.2,36.3,47.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.8,NO,N/A,NO,YES,1,NO,N/A
2026,18,"State Public Charter School Authority ",38435.2,Freedom Class ACAD MS,Regular,67,3,YES,50.2,31.5,35.7,YES,YES,51,30.9,14.8,92.8,N/A,N/A,N/A,N/A,N/A,N/A,5.2,NO,N/A,NO,NO,N/A,NO,N/A
2026,18,"State Public Charter School Authority ",39438.1,Legacy N Valley ES,Regular,37.5,2,YES,49.4,37.8,14.4,YES,YES,49,28.3,42.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15.9,NO,N/A,NO,YES,3,NO,N/A
2026,18,"State Public Charter School Authority ",39438.2,Legacy N Valley MS,Regular,49,2,YES,41.7,18.3,35.2,YES,YES,44.1,20.1,23.6,90,N/A,N/A,N/A,N/A,N/A,N/A,15.9,NO,N/A,NO,NO,N/A,NO,N/A
