Year,District Code,District Name,NSPF School Code,School Name,School Type,Total Index Score,Star Rating,Title I Status,% Proficient ELA,% Proficient Math,% Proficient Science,95% Participation Met Mathematics,95% Participation Met ELA,% Meeting AGP ELA,% Meeting AGP Math,% Meeting AGP EL,NAC 389.445 Credit Requirements (8th Grade),9th Grade Credit Sufficiency,CCR Participation,CCR Completion,Advanced Diploma,4-Year Graduation Rate,5-Year Graduation Rate,Chronic Absenteeism,CSI,Yrs In Designation As CSI,TSI,ATSI,Yrs In Designation As ATSI,CSI-MRI,Yrs In Designation As CSI-MRI
2026,16,Washoe,16201.1,Anderson ES,Regular,57.5,3,YES,40.1,22.9,<5,YES,YES,57.4,32.1,56.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13.1,NO,N/A,NO,NO,N/A,NO,N/A
2026,16,Washoe,16202.1,Loder ES,Regular,30,2,YES,18.1,17.4,6.9,YES,YES,36.4,25,38.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13,NO,N/A,NO,NO,N/A,NO,N/A
2026,16,Washoe,16203.1,Elmcrest ES,Regular,28,2,YES,39.8,33.6,13.1,YES,YES,40.2,16.8,60,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16.2,YES,1,NO,NO,N/A,NO,N/A
2026,16,Washoe,16204.1,Duncan ES,Regular,42,2,YES,31.7,28.2,<5,YES,YES,35.6,34.4,63,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13.5,NO,N/A,NO,NO,N/A,NO,N/A
2026,16,Washoe,16205.1,Warner ES,Regular,20,1,YES,31.6,24.8,8.7,NO,NO,40.7,18.6,42.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22.9,NO,N/A,NO,YES,3,NO,N/A
2026,16,Washoe,16206.1,Hunter Lake ES,Regular,80.5,4,NO,80.1,75.3,62.7,YES,YES,75.8,61.6,43.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.9,NO,N/A,NO,NO,N/A,NO,N/A
2026,16,Washoe,16207.1,Beck ES,Regular,95.5,5,NO,69.5,69.3,56.7,YES,YES,75.5,68.7,64.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.3,NO,N/A,NO,NO,N/A,NO,N/A
2026,16,Washoe,16208.1,Booth ES,Regular,19.5,1,YES,21.3,21.6,<5,YES,YES,27.7,5,55.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21.1,YES,3,NO,NO,N/A,NO,N/A
2026,16,Washoe,16209.1,Towles ES,Regular,88,5,NO,62.9,61.4,42.3,YES,YES,68.1,55.6,58.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.2,NO,N/A,NO,NO,N/A,NO,N/A
2026,16,Washoe,16210.1,Melton ES,Regular,89.5,5,NO,71.8,70.9,38.6,NO,NO,70.1,63.3,42.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.3,NO,N/A,NO,NO,N/A,NO,N/A
2026,16,Washoe,16211.1,Mount Rose K-8 ES,Regular,93,5,NO,69.3,68.6,54,YES,YES,71.7,63,65.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.9,NO,N/A,NO,NO,N/A,NO,N/A
2026,16,Washoe,16211.2,Mount Rose K-8 MS,Regular,100,5,NO,>95,>95,93,YES,YES,>95,>95,N/A,93,N/A,N/A,N/A,N/A,N/A,N/A,<5,NO,N/A,NO,NO,N/A,NO,N/A
2026,16,Washoe,16212.1,Double Diamond ES,Regular,70.5,4,NO,51.5,52.2,20,YES,YES,55.1,47.2,56.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.4,NO,N/A,NO,NO,N/A,NO,N/A
