Year,District Code,District Name,NSPF School Code,School Name,School Type,Total Index Score,Star Rating,Title I Status,% Proficient ELA,% Proficient Math,% Proficient Science,95% Participation Met Mathematics,95% Participation Met ELA,Participation Warning,Participation Penalty,Continuing Participation Penalty,% Meeting AGP ELA,% Meeting AGP Math,% Meeting AGP EL,NAC 389.445 Credit Requirements (8th Grade),9th Grade Credit Sufficiency,CCR Participation,CCR Completion,Advanced Diploma,4-Year Graduation Rate,5-Year Graduation Rate,Chronic Absenteeism,CSI,Yrs In Designation As CSI,TSI,Yrs In Designation As TSI,ATSI,Yrs In Designation As ATSI
2016,04,Elko,04104.1,Independence Vly ES,Regular,,,NO,N/A,N/A,N/A,NO,NO,NO,NO,NO,N/A,N/A,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2016,04,Elko,04104.2,Independence Vly MS,Regular,,,NO,N/A,N/A,N/A,NO,NO,NO,NO,NO,N/A,N/A,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2016,04,Elko,04105.1,Jackpot ES,Regular,,,NO,40.5,31,38.5,NO,NO,NO,NO,NO,N/A,N/A,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2016,04,Elko,04108.1,Mound Vly ES,Regular,,,NO,N/A,N/A,N/A,NO,NO,NO,NO,NO,N/A,N/A,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2016,04,Elko,04108.2,Mound Vly MS,Regular,,,NO,N/A,N/A,N/A,NO,NO,NO,NO,NO,N/A,N/A,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2016,04,Elko,04111.1,Ruby Vly ES,Regular,,,NO,N/A,N/A,N/A,NO,NO,NO,NO,NO,N/A,N/A,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2016,04,Elko,04111.2,Ruby Vly MS,Regular,,,NO,N/A,N/A,N/A,NO,NO,NO,NO,NO,N/A,N/A,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2016,04,Elko,04202.1,Elko Grammar #2 ES,Regular,,,NO,57.5,52,N/A,NO,NO,NO,NO,NO,N/A,N/A,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2016,04,Elko,04203.1,Northside ES,Regular,,,YES,46.4,45,N/A,NO,NO,NO,NO,NO,N/A,N/A,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2016,04,Elko,04204.1,Southside ES,Regular,,,YES,30.5,22.5,N/A,NO,NO,NO,NO,NO,N/A,N/A,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2016,04,Elko,04205.1,Carlin ES,Regular,,,NO,50.5,32.6,55.9,NO,NO,NO,NO,NO,N/A,N/A,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2016,04,Elko,04206.1,Owyhee ES,Regular,,,NO,19.2,<5,33.3,NO,NO,NO,NO,NO,N/A,N/A,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2016,04,Elko,04207.1,Wells ES,Regular,,,YES,43.7,32.4,57.1,NO,NO,NO,NO,NO,N/A,N/A,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2016,04,Elko,04208.1,West Wendover ES ES,Regular,,,YES,13.4,11.9,27.5,NO,NO,NO,NO,NO,N/A,N/A,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2016,04,Elko,04209.1,Mountain View ES,Regular,,,NO,53.4,47.6,N/A,NO,NO,NO,NO,NO,N/A,N/A,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2016,04,Elko,04210.1,Spring Creek ES,Regular,,,NO,51.6,42.5,79.1,NO,NO,NO,NO,NO,N/A,N/A,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2016,04,Elko,04211.1,Sage ES,Regular,,,NO,63.4,51.9,89.5,NO,NO,NO,NO,NO,N/A,N/A,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2016,04,Elko,04213.1,Flagview Int Sch ES,Regular,,,YES,41.7,36.8,63.9,NO,NO,NO,NO,NO,N/A,N/A,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2016,04,Elko,04501.2,Carlin MS,Regular,,,NO,40,16.7,50,NO,NO,NO,NO,NO,N/A,N/A,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2016,04,Elko,04502.2,Wells MS MS,Regular,,,NO,54.3,26.1,52.4,NO,NO,NO,NO,NO,N/A,N/A,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2016,04,Elko,04503.2,Adobe MS,Regular,,,NO,53.5,27.4,69.1,NO,NO,NO,NO,NO,N/A,N/A,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2016,04,Elko,04504.2,Spring Creek MS,Regular,,,NO,47.6,23.7,55.1,NO,NO,NO,NO,NO,N/A,N/A,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2016,04,Elko,04505.2,Jackpot MS,Regular,,,NO,30.4,30.4,28.6,NO,NO,NO,NO,NO,N/A,N/A,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2016,04,Elko,04506.2,Owyhee MS,Regular,,,NO,16.1,9.4,20,NO,NO,NO,NO,NO,N/A,N/A,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2016,04,Elko,04507.2,West Wendover MS MS,Regular,,,NO,23.8,10.5,36.7,NO,NO,NO,NO,NO,N/A,N/A,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2016,04,Elko,04601.3,Carlin HS,Regular,,,NO,81.8,51.1,,NO,NO,NO,NO,NO,N/A,N/A,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2016,04,Elko,04602.3,Wells HS HS,Regular,,,NO,82.1,43.9,,NO,NO,NO,NO,NO,N/A,N/A,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2016,04,Elko,04603.3,Elko HS HS,Regular,,,NO,75.8,51.7,,NO,NO,NO,NO,NO,N/A,N/A,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2016,04,Elko,04604.3,Owyhee HS,Regular,,,YES,N/A,N/A,,NO,NO,NO,NO,NO,N/A,N/A,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2016,04,Elko,04605.3,Jackpot HS,Regular,,,YES,61.1,32,,NO,NO,NO,NO,NO,N/A,N/A,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2016,04,Elko,04606.3,Spring Creek HS,Regular,,,NO,49.5,57.9,,NO,NO,NO,NO,NO,N/A,N/A,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2016,04,Elko,04607.3,West Wendover HS HS,Regular,,,YES,71.4,51.9,,NO,NO,NO,NO,NO,N/A,N/A,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2016,04,Elko,04610.1,NNVVirtual ES,Regular,,,NO,N/A,N/A,N/A,NO,NO,NO,NO,NO,N/A,N/A,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2016,04,Elko,04610.2,NNVVirtual MS,Regular,,,NO,46.2,30.8,N/A,NO,NO,NO,NO,NO,N/A,N/A,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2016,04,Elko,04610.3,NNVVirtual HS,Regular,,,NO,63.2,25,,NO,NO,NO,NO,NO,N/A,N/A,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
