Year,District Code,District Name,NSPF School Code,School Name,School Type,Total Index Score,Star Rating,Title I Status,% Proficient ELA,% Proficient Math,% Proficient Science,95% Participation Met Mathematics,95% Participation Met ELA,Participation Warning,Participation Penalty,Continuing Participation Penalty,% Meeting AGP ELA,% Meeting AGP Math,% Meeting AGP EL,NAC 389.445 Credit Requirements (8th Grade),9th Grade Credit Sufficiency,CCR Participation,CCR Completion,Advanced Diploma,4-Year Graduation Rate,5-Year Graduation Rate,Chronic Absenteeism,CSI,Yrs In Designation As CSI,TSI,Yrs In Designation As TSI,ATSI,Yrs In Designation As ATSI
2017,03,Douglas,03201.1,Gardnerville ES,Regular,75.5,4,NO,48.8,51.6,N/A,YES,YES,NO,NO,NO,51.9,50.3,50,N/A,N/A,,,,N/A,N/A,6.4,NO,N/A,NO,N/A,NO,N/A
2017,03,Douglas,03202.1,Zephyr Cove ES,Regular,59,3,NO,53.6,35.7,N/A,YES,YES,NO,NO,NO,55.8,33.3,55.5,N/A,N/A,,,,N/A,N/A,13,NO,N/A,NO,N/A,NO,N/A
2017,03,Douglas,03205.1,Meneley  ES,Regular,66,3,YES,54.1,48.6,N/A,YES,YES,NO,NO,NO,51,37.8,57.1,N/A,N/A,,,,N/A,N/A,8.5,NO,N/A,NO,N/A,NO,N/A
2017,03,Douglas,03206.1,Jacks Vly ES,Regular,58.5,3,YES,52.5,47.2,N/A,YES,YES,NO,NO,NO,54.5,42.6,37.2,N/A,N/A,,,,N/A,N/A,8.6,NO,N/A,NO,N/A,NO,N/A
2017,03,Douglas,03207.1,Scarselli ES,Regular,58.5,3,YES,55.8,48.3,N/A,YES,YES,NO,NO,NO,43.8,36.9,56.2,N/A,N/A,,,,N/A,N/A,9.6,NO,N/A,NO,N/A,NO,N/A
2017,03,Douglas,03209.1,Pinon Hills ES,Regular,78.67,4,NO,75.3,74.3,N/A,YES,YES,NO,NO,NO,55.2,52.8,-,N/A,N/A,,,,N/A,N/A,6.3,NO,N/A,NO,N/A,NO,N/A
2017,03,Douglas,03210.1,Minden ES,Regular,62.5,3,NO,58.1,51.3,N/A,YES,YES,NO,NO,NO,53.7,41.9,29.4,N/A,N/A,,,,N/A,N/A,7.3,NO,N/A,NO,N/A,NO,N/A
2017,03,Douglas,03301.2,Carson Vly MS,Regular,72,4,NO,53.3,40.6,N/A,YES,YES,NO,NO,NO,51.5,40.8,30.3,71.8,N/A,,,,N/A,N/A,10.3,NO,N/A,NO,N/A,NO,N/A
2017,03,Douglas,03302.2,Pau Wa Lu MS,Regular,55.5,3,NO,48.6,28.4,N/A,YES,YES,NO,NO,NO,46.3,28.2,53.3,81.1,N/A,,,,N/A,N/A,14.5,NO,N/A,NO,N/A,NO,N/A
2017,03,Douglas,03501.3,Douglas HS HS,Regular,81,-1,NO,93.1,70.5,,N/A,N/A,NO,NO,NO,N/A,N/A,14.8,N/A,95.2,,,,90.1,91.9,16.7,NO,N/A,NO,N/A,NO,N/A
2017,03,Douglas,03502.2,Whittell MS,Regular,61.44,3,NO,51.7,55.9,N/A,YES,NO,YES,NO,NO,47,53.8,-,46.1,N/A,,,,N/A,N/A,11.7,NO,N/A,NO,N/A,NO,N/A
2017,03,Douglas,03502.3,Whittell HS,Regular,69.78,-1,NO,92.3,58.8,,N/A,N/A,NO,NO,NO,N/A,N/A,-,N/A,24.2,,,,87.1,>95,18.6,NO,N/A,NO,N/A,NO,N/A
2017,03,Douglas,03503.2,Jacobsen MS,Alternative,N/A,Not Rated,NO,N/A,N/A,N/A,-,-,NO,NO,NO,N/A,N/A,-,N/A,N/A,,,,N/A,N/A,N/A,NO,N/A,NO,N/A,NO,N/A
2017,03,Douglas,03503.3,Jacobsen HS,Alternative,19.5,-1,NO,N/A,N/A,,N/A,N/A,NO,NO,NO,N/A,N/A,-,N/A,N/A,,,,56.2,-,N/A,NO,N/A,NO,N/A,NO,N/A
2017,03,Douglas,03504.3,ASPIRE HS HS,Alternative,55.33,-1,NO,73,63.6,,N/A,N/A,NO,NO,NO,N/A,N/A,N/A,N/A,-,,,,88.1,92,59.8,NO,N/A,NO,N/A,NO,N/A
2017,03,Douglas,03901.2,Douglas ALT MS,Alternative,N/A,Not Rated,NO,N/A,N/A,N/A,-,-,NO,NO,NO,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,NO,N/A,NO,N/A,NO,N/A
2017,03,Douglas,03901.3,Douglas ALT HS,Alternative,70,-1,NO,-,-,,N/A,N/A,NO,NO,NO,N/A,N/A,N/A,N/A,N/A,,,,-,-,N/A,NO,N/A,NO,N/A,NO,N/A
