Year,District Code,District Name,NSPF School Code,School Name,School Type,Total Index Score,Star Rating,Title I Status,% Proficient ELA,% Proficient Math,% Proficient Science,95% Participation Met Mathematics,95% Participation Met ELA,Participation Warning,Participation Penalty,Continuing Participation Penalty,% Meeting AGP ELA,% Meeting AGP Math,% Meeting AGP EL,NAC 389.445 Credit Requirements (8th Grade),9th Grade Credit Sufficiency,CCR Participation,CCR Completion,Advanced Diploma,4-Year Graduation Rate,5-Year Graduation Rate,Chronic Absenteeism,CSI,Yrs In Designation As CSI,TSI,Yrs In Designation As TSI,ATSI,Yrs In Designation As ATSI
2017,17,White Pine,17101.1,Lund ES,Regular,21.11,1,NO,35.8,18.1,N/A,NO,YES,YES,NO,NO,22.2,8.5,N/A,N/A,N/A,,,,N/A,N/A,<5,YES,1,NO,N/A,NO,N/A
2017,17,White Pine,17103.1,Baker ES,Regular,43.33,Not Rated,NO,40,20,N/A,-,N/A,NO,NO,NO,-,-,-,N/A,N/A,,,,N/A,N/A,<5,NO,N/A,NO,N/A,NO,N/A
2017,17,White Pine,17103.2,Baker MS,Regular,N/A,Not Rated,NO,-,-,N/A,-,N/A,NO,NO,NO,-,-,-,N/A,N/A,,,,N/A,N/A,-,NO,N/A,NO,N/A,NO,N/A
2017,17,White Pine,17201.1,Norman ES,Regular,37.56,2,YES,23.9,18.1,N/A,YES,YES,NO,NO,NO,36.9,32.7,-,N/A,N/A,,,,N/A,N/A,11.9,NO,N/A,NO,N/A,NO,N/A
2017,17,White Pine,17203.1,McGill ES,Regular,34.22,2,YES,22.9,26.2,N/A,YES,YES,NO,NO,NO,34.8,30.2,-,N/A,N/A,,,,N/A,N/A,11.4,NO,N/A,NO,N/A,NO,N/A
2017,17,White Pine,17301.2,White Pine MS,Regular,43.67,2,YES,34.9,25.1,N/A,YES,YES,YES,NO,NO,38.6,23.6,-,85.5,N/A,,,,N/A,N/A,8.1,NO,N/A,NO,N/A,NO,N/A
2017,17,White Pine,17502.3,White Pine HS,Regular,52,-1,NO,70.9,53.8,,N/A,N/A,NO,NO,NO,N/A,N/A,-,N/A,94.9,,,,89.3,88.3,22.5,NO,N/A,NO,N/A,NO,N/A
2017,17,White Pine,17601.2,Lund Jr S HS MS,Regular,30.89,2,NO,31,13.2,N/A,NO,NO,YES,NO,NO,30.9,9.8,N/A,>95,N/A,,,,N/A,N/A,<5,NO,N/A,NO,N/A,NO,N/A
2017,17,White Pine,17601.3,Lund Jr S HS HS,Regular,46.44,-1,NO,80,43.9,,N/A,N/A,NO,NO,NO,N/A,N/A,N/A,N/A,34,,,,-,-,<5,NO,N/A,NO,N/A,NO,N/A
2017,17,White Pine,17903.3,Steptoe Vly HS,Alternative,23.11,-1,NO,25,40,,N/A,N/A,NO,NO,NO,N/A,N/A,N/A,N/A,-,,,,61.1,82.3,7.5,YES,1,NO,N/A,NO,N/A
