Year,District Code,District Name,NSPF School Code,School Name,School Type,Total Index Score,Star Rating,Title I Status,% Proficient ELA,% Proficient Math,% Proficient Science,95% Participation Met Mathematics,95% Participation Met ELA,Participation Warning,Participation Penalty,Continuing Participation Penalty,% Meeting AGP ELA,% Meeting AGP Math,% Meeting AGP EL,NAC 389.445 Credit Requirements (8th Grade),9th Grade Credit Sufficiency,CCR Participation,CCR Completion,Advanced Diploma,4-Year Graduation Rate,5-Year Graduation Rate,Chronic Absenteeism,CSI,Yrs In Designation As CSI,TSI,Yrs In Designation As TSI,ATSI,Yrs In Designation As ATSI
2018,02,Clark,02068.1,Blackhurst ES,Regular,94,5,NO,73.4,53.7,21.6,YES,YES,NO,NO,NO,70.9,51.1,64.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13.2,NO,N/A,NO,N/A,NO,N/A
2018,02,Clark,02069.1,Vassiliadis ES,Regular,102,5,NO,86.6,83.4,55.7,YES,YES,NO,NO,NO,81.6,73.7,64.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<5,NO,N/A,NO,N/A,NO,N/A
2018,02,Clark,02070.1,Berkley ES,Regular,55,3,NO,54.5,39.1,19.2,YES,YES,NO,NO,NO,58.1,36,57.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14.2,NO,N/A,NO,N/A,NO,N/A
2018,02,Clark,02071.1,Stevens ES,Regular,72,4,NO,60,54.3,20,YES,YES,NO,NO,NO,54.9,50.5,45.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14.4,NO,N/A,NO,N/A,NO,N/A
2018,02,Clark,02072.1,Mathis ES,Regular,93.5,5,NO,63.7,56.8,37.6,YES,YES,NO,NO,NO,63.4,59.5,51.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11.9,NO,N/A,NO,N/A,NO,N/A
2018,02,Clark,02073.1,Heard ES,Regular,49.5,2,NO,55,43.2,26.3,YES,YES,NO,NO,NO,49,28.5,57.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.9,NO,N/A,NO,N/A,NO,N/A
2018,02,Clark,02074.1,Snyder ES,Regular,59.5,3,NO,60.9,43.7,31.3,YES,YES,NO,NO,NO,59.2,36.7,66.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16.1,NO,N/A,NO,N/A,NO,N/A
2018,02,Clark,02076.1,Duncan ES,Regular,21.5,1,YES,37.6,26.8,7.7,YES,YES,NO,NO,NO,30.3,14.6,45.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17,YES,1,NO,N/A,NO,N/A
2018,02,Clark,02077.1,Wallin ES,Regular,74.5,4,NO,80.7,76.1,41.6,YES,YES,NO,NO,NO,67.6,54.4,30.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,NO,N/A,NO,N/A,NO,N/A
2018,02,Clark,02078.1,Stuckey ES,Regular,82.5,4,NO,65.6,69.3,45.5,YES,YES,NO,NO,NO,70.1,66.1,55.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15.1,NO,N/A,NO,N/A,NO,N/A
2018,02,Clark,02079.1,Keller  ES,Regular,26,1,YES,42,28.2,5.4,YES,YES,NO,NO,NO,42.5,18.7,41.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21.3,YES,1,NO,N/A,NO,N/A
2018,02,Clark,02080.1,Fine  ES,Regular,82.5,4,YES,64.7,53.8,40.7,YES,YES,NO,NO,NO,61.6,55.7,46.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14.1,NO,N/A,NO,N/A,NO,N/A
2018,02,Clark,02081.1,Bozarth  ES,Regular,94.5,5,NO,73.3,64.1,33.8,YES,YES,NO,NO,NO,64.7,60.4,59.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.7,NO,N/A,NO,N/A,NO,N/A
2018,02,Clark,02082.1,Triggs E.S. ES,Regular,41,2,NO,55.3,50.1,24.2,YES,YES,NO,NO,NO,44.4,37.3,41.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12.2,NO,N/A,NO,N/A,NO,N/A
