Year,District Code,District Name,NSPF School Code,School Name,School Type,Total Index Score,Star Rating,Title I Status,% Proficient ELA,% Proficient Math,% Proficient Science,95% Participation Met Mathematics,95% Participation Met ELA,Participation Warning,Participation Penalty,Continuing Participation Penalty,% Meeting AGP ELA,% Meeting AGP Math,% Meeting AGP EL,NAC 389.445 Credit Requirements (8th Grade),9th Grade Credit Sufficiency,CCR Participation,CCR Completion,Advanced Diploma,4-Year Graduation Rate,5-Year Graduation Rate,Chronic Absenteeism,CSI,Yrs In Designation As CSI,TSI,Yrs In Designation As TSI,ATSI,Yrs In Designation As ATSI
2018,09,Lincoln,09102.1,Pahranagat Vly ES,Zoom Regular,48.11,2,NO,50.8,50.8,10.5,NO,NO,NO,YES,NO,43.5,43.5,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,NO,N/A,NO,N/A,NO,N/A
2018,09,Lincoln,09201.1,Caliente ES,Regular,78.29,4,YES,42.2,51.1,9.1,YES,YES,NO,NO,NO,54.5,75.7,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11.9,YES,2,NO,N/A,NO,N/A
2018,09,Lincoln,09202.1,Panaca ES,Regular,93.11,5,YES,57.5,47.9,27.8,YES,YES,NO,NO,NO,65.3,63.2,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<5,NO,N/A,NO,N/A,NO,N/A
2018,09,Lincoln,09203.1,Pioche ES,Regular,54.94,3,NO,47.6,42.8,8.3,YES,YES,NO,NO,NO,51.5,33.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16.6,NO,N/A,NO,N/A,NO,N/A
2018,09,Lincoln,09301.2,Meadow Vly MS,Regular,29.22,2,NO,35.5,18.4,23.7,YES,YES,NO,NO,NO,41.1,19.1,-,89.4,N/A,N/A,N/A,N/A,N/A,N/A,18.9,NO,N/A,NO,N/A,NO,N/A
2018,09,Lincoln,09302.2,Pahranagat Vly MS,Regular,53.67,3,NO,41.2,47.6,37,NO,NO,NO,YES,NO,46.5,56.9,N/A,>95,N/A,N/A,N/A,N/A,N/A,N/A,16.6,NO,N/A,NO,N/A,NO,N/A
2018,09,Lincoln,09501.3,Lincoln Co HS,Regular,62.56,3,NO,38.4,30,14.2,YES,YES,NO,NO,NO,N/A,N/A,N/A,N/A,97.1,50,44,48.3,88.5,90.4,21.1,NO,N/A,NO,N/A,NO,N/A
2018,09,Lincoln,09601.3,Pahranagat Vly HS,Regular,73.11,4,NO,51.7,20.6,42.3,YES,YES,NO,NO,NO,N/A,N/A,N/A,N/A,100,38.2,38.2,57.1,>95,90,9,NO,N/A,NO,N/A,NO,N/A
2018,09,Lincoln,09602.2,C O  Bastian MS,Alternative,83,Not Rated,NO,N/A,N/A,N/A,-,N/A,NO,NO,NO,N/A,N/A,N/A,<5,N/A,N/A,N/A,N/A,N/A,N/A,<5,NO,N/A,NO,N/A,NO,N/A
2018,09,Lincoln,09602.3,C O  Bastian HS,Alternative,13.09,1,NO,5.4,<5,N/A,YES,YES,NO,NO,NO,N/A,N/A,N/A,N/A,54.5,<5,<4.5,<5,24.2,28.5,<5,YES,2,NO,N/A,NO,N/A
