Year,District Code,District Name,NSPF School Code,School Name,School Type,Total Index Score,Star Rating,Title I Status,% Proficient ELA,% Proficient Math,% Proficient Science,95% Participation Met Mathematics,95% Participation Met ELA,Participation Warning,Participation Penalty,Continuing Participation Penalty,% Meeting AGP ELA,% Meeting AGP Math,% Meeting AGP EL,NAC 389.445 Credit Requirements (8th Grade),9th Grade Credit Sufficiency,CCR Participation,CCR Completion,Advanced Diploma,4-Year Graduation Rate,5-Year Graduation Rate,Chronic Absenteeism,CSI,Yrs In Designation As CSI,TSI,Yrs In Designation As TSI,ATSI,Yrs In Designation As ATSI
2018,13,Carson City,13201.1,Bordewich Bray ES,Zoom Regular,46,2,YES,51.6,49.5,26.2,YES,YES,NO,NO,NO,31,39.5,74.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13.3,NO,N/A,NO,N/A,NO,N/A
2018,13,Carson City,13203.1,Fritsch ES,Zoom Regular,65,3,NO,53,45.9,36.4,YES,YES,NO,NO,NO,56.1,42.2,65.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10.2,NO,N/A,NO,N/A,NO,N/A
2018,13,Carson City,13204.1,Fremont ES,Zoom Regular,48.5,2,YES,36,29.9,15.9,YES,YES,NO,NO,NO,39.1,36.6,51.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10.3,NO,N/A,NO,N/A,NO,N/A
2018,13,Carson City,13207.1,Seeliger ES,Zoom Regular,62.5,3,NO,49.8,41.6,27.7,YES,YES,NO,NO,NO,53.1,46.8,47.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.9,NO,N/A,NO,N/A,NO,N/A
2018,13,Carson City,13209.1,Empire ES,Zoom Regular,41,2,YES,30.6,26.4,17.5,YES,YES,NO,NO,NO,35.6,32.7,65.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14.3,NO,N/A,NO,N/A,NO,N/A
2018,13,Carson City,13211.1,Mark Twain ES,Zoom Regular,35.5,2,YES,47.8,38.3,24.5,YES,YES,NO,YES,NO,46.8,25.4,63.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10.9,NO,N/A,NO,N/A,NO,N/A
2018,13,Carson City,13212.1,Carson Montessori ES,Charter District,34.22,2,NO,55.9,35,27.1,YES,YES,YES,NO,NO,44.6,30.8,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10.1,NO,N/A,NO,N/A,NO,N/A
2018,13,Carson City,13301.2,Carson MS,Zoom Regular,64.5,3,NO,46.3,32.9,36.3,YES,YES,NO,NO,NO,45.8,35.4,45.7,>95,N/A,N/A,N/A,N/A,N/A,N/A,14,NO,N/A,NO,N/A,NO,N/A
2018,13,Carson City,13302.2,Eagle Vly MS,Zoom Regular,58,3,NO,38.3,26.9,45.2,YES,YES,NO,NO,NO,39.3,27.4,54.6,>95,N/A,N/A,N/A,N/A,N/A,N/A,13.1,NO,N/A,NO,N/A,NO,N/A
2018,13,Carson City,13501.3,Carson HS,Zoom Regular,79,4,NO,46.3,28,42.1,YES,YES,NO,NO,NO,N/A,N/A,29.5,N/A,90.9,70.8,46.2,41.6,93.2,90,18.3,NO,N/A,NO,N/A,NO,N/A
2018,13,Carson City,13903.3,Pioneer HS,Alternative,24.22,1,YES,37.1,14.2,33.3,YES,YES,NO,YES,NO,N/A,N/A,-,N/A,54,20,10,12.7,80.8,75,51.2,YES,1,NO,N/A,NO,N/A
