Year,District Code,District Name,NSPF School Code,School Name,School Type,Total Index Score,Star Rating,Title I Status,% Proficient ELA,% Proficient Math,% Proficient Science,95% Participation Met Mathematics,95% Participation Met ELA,Participation Warning,Participation Penalty,Continuing Participation Penalty,% Meeting AGP ELA,% Meeting AGP Math,% Meeting AGP EL,NAC 389.445 Credit Requirements (8th Grade),9th Grade Credit Sufficiency,CCR Participation,CCR Completion,Advanced Diploma,4-Year Graduation Rate,5-Year Graduation Rate,Chronic Absenteeism,CSI,Yrs In Designation As CSI,TSI,Yrs In Designation As TSI,ATSI,Yrs In Designation As ATSI
2021,07,Humboldt,07101.1,Denio ES,Regular,N/A,Not Rated,YES,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,07,Humboldt,07101.2,Denio MS,Regular,84,Not Rated,YES,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,07,Humboldt,07103.1,Kings River ES,Regular,65,Not Rated,NO,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,07,Humboldt,07103.2,Kings River MS,Regular,28,Not Rated,NO,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,07,Humboldt,07104.1,Orovada ES,Regular,27.69,2,NO,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,07,Humboldt,07104.2,Orovada MS,Regular,58.46,3,NO,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,07,Humboldt,07105.1,Paradise Valley ES,Regular,36.15,2,YES,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,07,Humboldt,07105.2,Paradise Valley MS,Regular,88.06,5,YES,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,07,Humboldt,07201.1,Sonoma Heights ES,Regular,51.5,3,YES,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,07,Humboldt,07202.1,Winnemucca GS ES,Regular,67.5,4,YES,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,07,Humboldt,07203.1,McDermitt ES,Regular,13.33,1,YES,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,07,Humboldt,07205.1,Grass Valley ES,Regular,66.5,3,YES,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,07,Humboldt,07206.1,French Ford ES,Regular,28.95,2,YES,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,07,Humboldt,07301.2,Winnemucca JHS MS,Regular,47.5,2,YES,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,07,Humboldt,07302.2,McDermitt JHS MS,Regular,18.39,1,YES,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,07,Humboldt,07501.3,Lowry HS,Regular,64,3,NO,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,07,Humboldt,07601.3,McDermitt HS,Regular,64.62,3,YES,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,07,Humboldt,07901.1,Leighton Hall ES,Alternative,N/A,Not Rated,NO,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,07,Humboldt,07901.2,Leighton Hall MS,Alternative,N/A,Not Rated,NO,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,07,Humboldt,07901.3,Leighton Hall HS,Alternative,N/A,Not Rated,NO,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
