Year,District Code,District Name,NSPF School Code,School Name,School Type,Total Index Score,Star Rating,Title I Status,% Proficient ELA,% Proficient Math,% Proficient Science,95% Participation Met Mathematics,95% Participation Met ELA,Participation Warning,Participation Penalty,Continuing Participation Penalty,% Meeting AGP ELA,% Meeting AGP Math,% Meeting AGP EL,NAC 389.445 Credit Requirements (8th Grade),9th Grade Credit Sufficiency,CCR Participation,CCR Completion,Advanced Diploma,4-Year Graduation Rate,5-Year Graduation Rate,Chronic Absenteeism,CSI,Yrs In Designation As CSI,TSI,Yrs In Designation As TSI,ATSI,Yrs In Designation As ATSI
2021,16,Washoe,16201.1,Anderson ES,Regular,18.5,1,YES,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16202.1,Loder ES,Regular,32.5,2,YES,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16203.1,Elmcrest ES,Regular,44,2,YES,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16204.1,Duncan ES,Regular,32,2,YES,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16205.1,Warner ES,Regular,51.5,3,YES,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16206.1,Hunter Lake ES,Regular,94,5,NO,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16207.1,Beck ES,Regular,91,5,NO,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16208.1,Booth ES,Regular,19,1,YES,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16209.1,Towles ES,Regular,76,4,NO,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16210.1,Melton ES,Regular,94,5,NO,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16211.1,Mount Rose K 8 ES,Regular,87,5,NO,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16211.2,Mount Rose K 8 MS,Regular,100,5,NO,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16212.1,Double Diamond ES,Regular,61.5,3,NO,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16213.1,Peavine ES,Regular,66.5,3,NO,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16214.1,Cannan ES,Regular,28.5,2,YES,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16215.1,Corbett ES,Regular,69.5,4,YES,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16216.1,Gomm ES,Regular,90,5,NO,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16218.1,Smithridge ES,Regular,48.5,2,YES,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16219.1,Stead ES,Regular,34.5,2,YES,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16220.1,Veterans Memorial STEM ES,Regular,23,1,YES,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16221.1,Risley ES,Regular,37,2,YES,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16222.1,Maxwell ES,Regular,79.5,4,YES,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16223.1,Drake ES,Regular,74,4,YES,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16224.1,Greenbrae ES,Regular,47.5,2,YES,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16225.1,Smith Kate ES,Regular,47.5,2,YES,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16226.1,Juniper ES,Regular,56.5,3,NO,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16227.1,Lincoln Park ES,Regular,27,2,YES,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16228.1,Mitchell ES,Regular,29,2,YES,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16229.1,Brown ES,Regular,90,5,NO,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16230.1,Huffaker ES,Regular,73.5,4,NO,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16231.1,Lemelson STEM ES,Regular,56,3,YES,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16232.1,Lemmon Valley ES,Regular,28.5,2,YES,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16233.1,Pleasant Valley ES,Regular,78.89,4,NO,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16234.1,Sun Valley ES,Regular,47.5,2,YES,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16235.1,Verdi ES,Regular,64.44,3,NO,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16237.1,Natchez ES,Regular,18.33,1,YES,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16238.1,Diedrichsen ES,Regular,81,4,NO,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16239.1,Dunn ES,Regular,49,2,NO,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16240.1,Palmer ES,Regular,52.5,3,YES,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16241.1,Hall ES,Regular,65.5,3,NO,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16242.1,Sepulveda ES,Regular,53,3,NO,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16243.1,Poulakidas ES,Regular,,,NO,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16244.1,JOHN BOHACH ES,Regular,,,NO,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16251.1,Incline ES,Regular,51.5,3,NO,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16256.1,Gomes ES,Regular,48,2,NO,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16257.1,Lenz ES,Regular,75,4,NO,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16258.1,Dodson ES,Regular,50.5,3,YES,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16259.1,Whitehead ES,Regular,68.5,4,NO,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16260.1,Smith Alice ES,Regular,48.5,2,YES,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16261.1,Caughlin Ranch ES,Regular,90,5,NO,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16262.1,Hidden Valley ES,Regular,54,3,NO,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16263.1,Silver Lake ES,Regular,77.5,4,NO,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16264.1,Westergard ES,Regular,63,3,NO,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16265.1,Taylor ES,Regular,92,5,NO,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16266.1,Allen ES,Regular,36,2,YES,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16267.1,Moss ES,Regular,57.5,3,NO,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16268.1,Desert Heights ES,Regular,44,2,YES,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16269.1,Spanish Spgs ES,Regular,83.5,4,NO,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16270.1,Winnemucca ES,Regular,68,4,NO,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16271.1,Beasley ES,Regular,75,3,NO,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16272.1,Donner Springs ES,Regular,73.5,4,YES,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16273.1,Mathews ES,Regular,29,2,YES,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16274.1,Hunsberger ES,Regular,92.22,5,NO,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16275.1,Bennett ES,Regular,47,2,YES,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16276.1,Van Gorder ES,Regular,98,5,NO,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16278.1,Bailey CH ES,District Charter,38,2,YES,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16281.1,Mariposa CS ES,District Charter,34.5,2,YES,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16282.1,High Desert CS ES,District Charter,31,2,NO,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16282.2,High Desert CS MS,District Charter,67.78,3,NO,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16301.2,Clayton Academy MS,Regular,77.5,3,NO,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16302.2,Pine MS,Regular,66.5,3,YES,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16303.2,Swope MS,Regular,65,3,NO,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16304.2,Vaughn MS,Regular,32,2,YES,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16305.2,Traner MS,Regular,34.5,2,YES,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16306.2,Dilworth MS,Regular,41,2,YES,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16307.2,Sparks MS,Regular,46,2,YES,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16308.2,OBrien MS,Regular,24,1,YES,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16309.2,Incline MS,Regular,55.5,3,NO,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16310.2,Billinghurst MS,Regular,62.5,3,NO,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16311.2,Mendive MS,Regular,66.5,3,NO,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16312.3,Coral Acad HS,District Charter,92.5,5,NO,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16315.2,Depoali MS,Regular,85,5,NO,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16316.2,Shaw MS,Regular,58,3,NO,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16317.2,Cold Springs MS,Regular,58,3,NO,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16318.1,Coral Acad ES,District Charter,73,4,NO,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16319.2,Sky Ranch MS,Regular,,,NO,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16320.2,Coral Academy MS,District Charter,77,4,NO,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16321.2,Desert Skies MS,Regular,,,YES,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16322.2,Herz MS,Regular,,,NO,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16501.3,Wooster HS,Regular,65,3,NO,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2021,16,Washoe,16502.3,Reno HS,Regular,90.5,5,NO,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
