Year,District Code,District Name,NSPF School Code,School Name,School Type,Total Index Score,Star Rating,Title I Status,% Proficient ELA,% Proficient Math,% Proficient Science,95% Participation Met Mathematics,95% Participation Met ELA,Participation Warning,Participation Penalty,Continuing Participation Penalty,% Meeting AGP ELA,% Meeting AGP Math,% Meeting AGP EL,NAC 389.445 Credit Requirements (8th Grade),9th Grade Credit Sufficiency,CCR Participation,CCR Completion,Advanced Diploma,4-Year Graduation Rate,5-Year Graduation Rate,Chronic Absenteeism,CSI,Yrs In Designation As CSI,TSI,Yrs In Designation As TSI,ATSI,Yrs In Designation As ATSI
2022,18,"State Public Charter School Authority ",101101.1,NV Rise CS ES,SPCSA,20,Not Rated,YES,31.5,16.2,N/A,YES,YES,YES,NO,NO,44.1,20,22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,48,NO,N/A,NO,N/A,NO,N/A
2022,18,"State Public Charter School Authority ",102100.1,NV Prep CS ES,SPCSA,12.22,Not Rated,YES,18.3,18.3,21,YES,YES,NO,NO,NO,33.3,16.6,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18.8,NO,N/A,NO,N/A,NO,N/A
2022,18,"State Public Charter School Authority ",102100.2,NV Prep CS MS,SPCSA,74.44,Not Rated,YES,39.6,27.2,29.6,NO,NO,YES,NO,NO,51.5,42.4,-,>95,N/A,N/A,N/A,N/A,N/A,N/A,17.9,NO,N/A,NO,N/A,NO,N/A
2022,18,"State Public Charter School Authority ",104101.3,NSHS II Meadowood HS,SPCSA,94.38,Not Rated,NO,87.5,31.2,N/A,-,N/A,NO,NO,NO,N/A,N/A,N/A,N/A,N/A,>95,>95,78.1,>95,>95,<5,NO,N/A,NO,N/A,NO,N/A
2022,18,"State Public Charter School Authority ",105101.1,Signature Prep CS ES,SPCSA,37.5,Not Rated,YES,46.4,30.2,20.8,YES,YES,NO,NO,NO,55.3,23.2,32.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,37.5,NO,N/A,NO,N/A,NO,N/A
2022,18,"State Public Charter School Authority ",105101.2,Signature Prep CS MS,SPCSA,57.22,Not Rated,YES,50.5,21.1,19.2,YES,YES,YES,NO,NO,60.9,22.5,-,88.4,N/A,N/A,N/A,N/A,N/A,N/A,37.3,NO,N/A,NO,N/A,NO,N/A
2022,18,"State Public Charter School Authority ",106101.1,Pinecrest Northern NV ES,SPCSA,79,Not Rated,NO,52.3,55.5,53.3,YES,YES,NO,NO,NO,60,65.4,66.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14.1,NO,N/A,NO,N/A,NO,N/A
2022,18,"State Public Charter School Authority ",106101.2,Pinecrest Northern NV MS,SPCSA,71.67,Not Rated,NO,50.2,44.3,46.7,YES,YES,NO,NO,NO,53.3,45,-,90.6,N/A,N/A,N/A,N/A,N/A,N/A,16,NO,N/A,NO,N/A,NO,N/A
2022,18,"State Public Charter School Authority ",107101.2,Explore ACAD MS,SPCSA,18.89,Not Rated,YES,35,17.5,28,NO,NO,YES,NO,NO,31.8,12.1,-,>95,N/A,N/A,N/A,N/A,N/A,N/A,31.4,NO,N/A,NO,N/A,NO,N/A
2022,18,"State Public Charter School Authority ",107101.3,Explore ACAD HS,SPCSA,40,Not Rated,YES,N/A,N/A,-,N/A,N/A,NO,NO,NO,N/A,N/A,-,N/A,97.1,N/A,N/A,N/A,N/A,N/A,28.3,NO,N/A,NO,N/A,NO,N/A
