Year,District Code,District Name,NSPF School Code,School Name,School Type,Total Index Score,Star Rating,Title I Status,% Proficient ELA,% Proficient Math,% Proficient Science,95% Participation Met Mathematics,95% Participation Met ELA,Participation Warning,Participation Penalty,Continuing Participation Penalty,% Meeting AGP ELA,% Meeting AGP Math,% Meeting AGP EL,NAC 389.445 Credit Requirements (8th Grade),9th Grade Credit Sufficiency,CCR Participation,CCR Completion,Advanced Diploma,4-Year Graduation Rate,5-Year Graduation Rate,Chronic Absenteeism,CSI,Yrs In Designation As CSI,TSI,Yrs In Designation As TSI,ATSI,Yrs In Designation As ATSI,district_id,district_name,year
2017,1,Churchill,1205.1,Best ES,Regular,57.78,Not Rated,YES,46.5,54.6,,YES,YES,NO,NO,NO,,,43.8,,,,,,,,13.2,NO,,NO,,NO,,64826,Carson City,2017
2017,1,Churchill,1207.1,Numa ES,Regular,31.47,2,YES,35.6,23.5,,YES,YES,NO,NO,NO,34.8,26.2,63.8,,,,,,,,12.7,NO,,NO,,NO,,64826,Carson City,2017
2017,1,Churchill,1301.2,Churchill Co MS,Regular,27.5,1,NO,36.9,17.8,,YES,YES,NO,NO,NO,37.4,17.5,9.5,>95,,,,,,,19.9,YES,1.0,NO,,NO,,64826,Carson City,2017
2017,1,Churchill,1401.3,Churchill Co HS,Regular,42.0,-1,NO,74.6,56.4,,,,YES,NO,NO,,,6.9,,81.3,,,,63.2,74.7,19.1,YES,1.0,NO,,NO,,64826,Carson City,2017
2017,2,Clark,2076.1,Duncan ES,Regular,41.5,2,YES,46,31.3,,YES,YES,NO,NO,NO,45.1,26,40,,,,,,,,12.8,NO,,NO,,NO,,64827,Churchill,2017
2017,2,Clark,2077.1,Wallin ES,Regular,91.0,5,NO,82.8,76.4,,YES,YES,NO,NO,NO,70.7,53,76.9,,,,,,,,5.5,NO,,NO,,NO,,64827,Churchill,2017
2017,2,Clark,2078.1,Stuckey ES,Regular,74.0,4,NO,64.9,66.3,,YES,YES,NO,NO,NO,56.5,52.2,49,,,,,,,,9.2,NO,,NO,,NO,,64827,Churchill,2017
2017,2,Clark,2079.1,Keller  ES,Regular,39.5,2,YES,43.7,28.6,,YES,YES,NO,NO,NO,50,19.4,39,,,,,,,,12,NO,,NO,,NO,,64827,Churchill,2017
2017,2,Clark,2080.1,Fine  ES,Regular,67.0,4,YES,58.6,47.1,,YES,YES,NO,NO,NO,50.8,40.7,59.7,,,,,,,,9.7,NO,,NO,,NO,,64827,Churchill,2017
2017,2,Clark,2081.1,Bozarth  ES,Regular,86.0,5,NO,67.9,55.1,,YES,YES,NO,NO,NO,55,54.8,68.4,,,,,,,,6.4,NO,,NO,,NO,,64827,Churchill,2017
2017,2,Clark,2082.1,Triggs E.S. ES,Regular,72.0,4,NO,57.7,51.6,,YES,YES,YES,NO,NO,47.2,48,73.3,,,,,,,,7.4,NO,,NO,,NO,,64827,Churchill,2017
2017,2,Clark,2083.1,ORoarke  ES,Regular,96.5,5,NO,77.5,65.3,,YES,YES,NO,NO,NO,73,50.9,60,,,,,,,,8.4,NO,,NO,,NO,,64827,Churchill,2017
2017,2,Clark,2084.1,Reedom ES,Regular,56.0,3,NO,55.9,43.6,,YES,YES,NO,NO,NO,52.3,34.8,45.9,,,,,,,,6.7,NO,,NO,,NO,,64827,Churchill,2017
