school_name,school_code,authorizer,model_type,operating_school_year,accountability_reporting_year,legal_charter,grade_9_count,grade_10_count,grade_11_count,grade_12_count,has_grade_12,acgr_row_exists,include_in_charter_grad_universe,exclusion_reason,confidence,source_file,source_url,date_accessed
Explore Knowledge Academy J-SHS,02616,Clark County School District,brick_and_mortar,2013-14,2014-15,yes,,,,,yes,yes,yes,,moderate,summary_4?report=summary_4&scope=e32.y12.y23&organization=c32861&scores=n_Total%2Cn_Graduate%2CGraduation_Rate%2Cn_AdultDiploma%2CAdultDiploma_Rate%2Cn_AdvancedDiploma%2CAdvancedDiploma_Rate%2Cn_AlternativeDiploma%2CAlternativeDiploma_Rate%2Cn_ClgandcareerreadyDiploma%2CClgandcareerreadyDiploma_Rate%2Cn_StandardDiploma%2CStandardDiploma_Rate%2Cn_AdjustedDiploma%2CAdjustedDiploma_Rate%2Cn_CertHSA%2CCertHSA_Rate%2Cn_HSE%2CHSE_Rate&num=500&page=1&pagesize=500&domain=cohort4yr&,https://nevadareportcard.nv.gov/di/report/summary_4?report=summary_4&scope=e32.y12.y23&organization=c32861&scores=n_Total%2Cn_Graduate%2CGraduation_Rate%2Cn_AdultDiploma%2CAdultDiploma_Rate%2Cn_AdvancedDiploma%2CAdvancedDiploma_Rate%2Cn_AlternativeDiploma%2CAlternativeDiploma_Rate%2Cn_ClgandcareerreadyDiploma%2CClgandcareerreadyDiploma_Rate%2Cn_StandardDiploma%2CStandardDiploma_Rate%2Cn_AdjustedDiploma%2CAdjustedDiploma_Rate%2Cn_CertHSA%2CCertHSA_Rate%2Cn_HSE%2CHSE_Rate&num=500&page=1&pagesize=500&domain=cohort4yr&,2026-06-06
Innovations Int'l Charter J-SHS,02363,Clark County School District,brick_and_mortar,2013-14,2014-15,yes,,,,,yes,yes,yes,,moderate,summary_4?report=summary_4&scope=e32.y12.y23&organization=c32861&scores=n_Total%2Cn_Graduate%2CGraduation_Rate%2Cn_AdultDiploma%2CAdultDiploma_Rate%2Cn_AdvancedDiploma%2CAdvancedDiploma_Rate%2Cn_AlternativeDiploma%2CAlternativeDiploma_Rate%2Cn_ClgandcareerreadyDiploma%2CClgandcareerreadyDiploma_Rate%2Cn_StandardDiploma%2CStandardDiploma_Rate%2Cn_AdjustedDiploma%2CAdjustedDiploma_Rate%2Cn_CertHSA%2CCertHSA_Rate%2Cn_HSE%2CHSE_Rate&num=500&page=1&pagesize=500&domain=cohort4yr&,https://nevadareportcard.nv.gov/di/report/summary_4?report=summary_4&scope=e32.y12.y23&organization=c32861&scores=n_Total%2Cn_Graduate%2CGraduation_Rate%2Cn_AdultDiploma%2CAdultDiploma_Rate%2Cn_AdvancedDiploma%2CAdvancedDiploma_Rate%2Cn_AlternativeDiploma%2CAlternativeDiploma_Rate%2Cn_ClgandcareerreadyDiploma%2CClgandcareerreadyDiploma_Rate%2Cn_StandardDiploma%2CStandardDiploma_Rate%2Cn_AdjustedDiploma%2CAdjustedDiploma_Rate%2Cn_CertHSA%2CCertHSA_Rate%2Cn_HSE%2CHSE_Rate&num=500&page=1&pagesize=500&domain=cohort4yr&,2026-06-06
Odyssey Charter Schools 9-12 HS,02614,Clark County School District,brick_and_mortar,2013-14,2014-15,yes,,,,,yes,yes,yes,,moderate,summary_4?report=summary_4&scope=e32.y12.y23&organization=c32861&scores=n_Total%2Cn_Graduate%2CGraduation_Rate%2Cn_AdultDiploma%2CAdultDiploma_Rate%2Cn_AdvancedDiploma%2CAdvancedDiploma_Rate%2Cn_AlternativeDiploma%2CAlternativeDiploma_Rate%2Cn_ClgandcareerreadyDiploma%2CClgandcareerreadyDiploma_Rate%2Cn_StandardDiploma%2CStandardDiploma_Rate%2Cn_AdjustedDiploma%2CAdjustedDiploma_Rate%2Cn_CertHSA%2CCertHSA_Rate%2Cn_HSE%2CHSE_Rate&num=500&page=1&pagesize=500&domain=cohort4yr&,https://nevadareportcard.nv.gov/di/report/summary_4?report=summary_4&scope=e32.y12.y23&organization=c32861&scores=n_Total%2Cn_Graduate%2CGraduation_Rate%2Cn_AdultDiploma%2CAdultDiploma_Rate%2Cn_AdvancedDiploma%2CAdvancedDiploma_Rate%2Cn_AlternativeDiploma%2CAlternativeDiploma_Rate%2Cn_ClgandcareerreadyDiploma%2CClgandcareerreadyDiploma_Rate%2Cn_StandardDiploma%2CStandardDiploma_Rate%2Cn_AdjustedDiploma%2CAdjustedDiploma_Rate%2Cn_CertHSA%2CCertHSA_Rate%2Cn_HSE%2CHSE_Rate&num=500&page=1&pagesize=500&domain=cohort4yr&,2026-06-06
The Delta Academy J-SHS,02621,Clark County School District,brick_and_mortar,2013-14,2014-15,yes,,,,,yes,yes,yes,,moderate,summary_4?report=summary_4&scope=e32.y12.y23&organization=c32861&scores=n_Total%2Cn_Graduate%2CGraduation_Rate%2Cn_AdultDiploma%2CAdultDiploma_Rate%2Cn_AdvancedDiploma%2CAdvancedDiploma_Rate%2Cn_AlternativeDiploma%2CAlternativeDiploma_Rate%2Cn_ClgandcareerreadyDiploma%2CClgandcareerreadyDiploma_Rate%2Cn_StandardDiploma%2CStandardDiploma_Rate%2Cn_AdjustedDiploma%2CAdjustedDiploma_Rate%2Cn_CertHSA%2CCertHSA_Rate%2Cn_HSE%2CHSE_Rate&num=500&page=1&pagesize=500&domain=cohort4yr&,https://nevadareportcard.nv.gov/di/report/summary_4?report=summary_4&scope=e32.y12.y23&organization=c32861&scores=n_Total%2Cn_Graduate%2CGraduation_Rate%2Cn_AdultDiploma%2CAdultDiploma_Rate%2Cn_AdvancedDiploma%2CAdvancedDiploma_Rate%2Cn_AlternativeDiploma%2CAlternativeDiploma_Rate%2Cn_ClgandcareerreadyDiploma%2CClgandcareerreadyDiploma_Rate%2Cn_StandardDiploma%2CStandardDiploma_Rate%2Cn_AdjustedDiploma%2CAdjustedDiploma_Rate%2Cn_CertHSA%2CCertHSA_Rate%2Cn_HSE%2CHSE_Rate&num=500&page=1&pagesize=500&domain=cohort4yr&,2026-06-06
Alpine Acad,18412,State Public Charter School Authority,alternative,2013-14,2014-15,yes,,,,,yes,yes,yes,,moderate,reportcard_1?report=reportcard_1&scope=e20.y11&organization=c9009&fields=309%2C310%2C311%2C313%2C318%2C320&hiddenfieldsid=309%2C310%2C311%2C313%2C318%2C320&scores=1007%2C1015&num=160&page=1&pagesize=20&domain=cohort&,https://nevadareportcard.nv.gov/di/report/reportcard_1?report=reportcard_1&scope=e20.y11&organization=c9009&fields=309%2C310%2C311%2C313%2C318%2C320&hiddenfieldsid=309%2C310%2C311%2C313%2C318%2C320&scores=1007%2C1015&num=160&page=1&pagesize=20&domain=cohort&,2026-06-06
Argent Preparatory Academy,18400,State Public Charter School Authority,brick_and_mortar,2013-14,2014-15,yes,,,,,yes,yes,yes,,moderate,reportcard_1?report=reportcard_1&scope=e20.y11&organization=c9009&fields=309%2C310%2C311%2C313%2C318%2C320&hiddenfieldsid=309%2C310%2C311%2C313%2C318%2C320&scores=1007%2C1015&num=160&page=1&pagesize=20&domain=cohort&,https://nevadareportcard.nv.gov/di/report/reportcard_1?report=reportcard_1&scope=e20.y11&organization=c9009&fields=309%2C310%2C311%2C313%2C318%2C320&hiddenfieldsid=309%2C310%2C311%2C313%2C318%2C320&scores=1007%2C1015&num=160&page=1&pagesize=20&domain=cohort&,2026-06-06
Beacon Acad,18409,State Public Charter School Authority,alternative,2013-14,2014-15,yes,,,,,yes,yes,yes,,moderate,reportcard_1?report=reportcard_1&scope=e20.y11&organization=c9009&fields=309%2C310%2C311%2C313%2C318%2C320&hiddenfieldsid=309%2C310%2C311%2C313%2C318%2C320&scores=1007%2C1015&num=160&page=1&pagesize=20&domain=cohort&,https://nevadareportcard.nv.gov/di/report/reportcard_1?report=reportcard_1&scope=e20.y11&organization=c9009&fields=309%2C310%2C311%2C313%2C318%2C320&hiddenfieldsid=309%2C310%2C311%2C313%2C318%2C320&scores=1007%2C1015&num=160&page=1&pagesize=20&domain=cohort&,2026-06-06
NSHS Legacy Single-Campus,18401,State Public Charter School Authority,brick_and_mortar,2013-14,2014-15,yes,,,,,yes,yes,yes,,moderate,reportcard_1?report=reportcard_1&scope=e20.y11&organization=c9009&fields=309%2C310%2C311%2C313%2C318%2C320&hiddenfieldsid=309%2C310%2C311%2C313%2C318%2C320&scores=1007%2C1015&num=160&page=1&pagesize=20&domain=cohort&,https://nevadareportcard.nv.gov/di/report/reportcard_1?report=reportcard_1&scope=e20.y11&organization=c9009&fields=309%2C310%2C311%2C313%2C318%2C320&hiddenfieldsid=309%2C310%2C311%2C313%2C318%2C320&scores=1007%2C1015&num=160&page=1&pagesize=20&domain=cohort&,2026-06-06
Nevada Connections Acad,18405,State Public Charter School Authority,statewide_online,2013-14,2014-15,yes,,,,,yes,yes,yes,,moderate,reportcard_1?report=reportcard_1&scope=e20.y11&organization=c9009&fields=309%2C310%2C311%2C313%2C318%2C320&hiddenfieldsid=309%2C310%2C311%2C313%2C318%2C320&scores=1007%2C1015&num=160&page=1&pagesize=20&domain=cohort&,https://nevadareportcard.nv.gov/di/report/reportcard_1?report=reportcard_1&scope=e20.y11&organization=c9009&fields=309%2C310%2C311%2C313%2C318%2C320&hiddenfieldsid=309%2C310%2C311%2C313%2C318%2C320&scores=1007%2C1015&num=160&page=1&pagesize=20&domain=cohort&,2026-06-06
Nevada Virtual Charter,18404,State Public Charter School Authority,statewide_online,2013-14,2014-15,yes,,,,,yes,yes,yes,,moderate,reportcard_1?report=reportcard_1&scope=e20.y11&organization=c9009&fields=309%2C310%2C311%2C313%2C318%2C320&hiddenfieldsid=309%2C310%2C311%2C313%2C318%2C320&scores=1007%2C1015&num=160&page=1&pagesize=20&domain=cohort&,https://nevadareportcard.nv.gov/di/report/reportcard_1?report=reportcard_1&scope=e20.y11&organization=c9009&fields=309%2C310%2C311%2C313%2C318%2C320&hiddenfieldsid=309%2C310%2C311%2C313%2C318%2C320&scores=1007%2C1015&num=160&page=1&pagesize=20&domain=cohort&,2026-06-06
