year,series_id,series_label,cohort,graduates,weighted_acgr,low_acgr,likely_acgr,high_acgr,included_school_count,suppressed_school_count,current_unweighted_panel_avg,notes
2013-14,statewide_official,Statewide Official,34201,23941,70.0,70.0,70.0,70.0,,,,Official public rate from Nevada reporting context file; calculated rate from counts was 70.0%
2013-14,spcsa_official,SPCSA Official,922,498,54.0,54.0,54.0,54.0,,,,Official public rate from Nevada reporting context file; calculated rate from counts was 54.01%
2013-14,clark_official,Clark Official,23432,16604,70.8,70.8,70.8,70.8,,,,Official public rate from Nevada reporting context file; calculated rate from counts was 70.86%
2013-14,washoe_official,Washoe Official,4777,3473,72.7,72.7,72.7,72.7,,,,Official public rate from Nevada reporting context file; calculated rate from counts was 72.7%
2013-14,spcsa_adjusted_charter_only,SPCSA Charter Only,2950,1387,47.02,47.01,47.01,47.01,7,0,57.61,Weighted ACGR from school-level cohort and graduate counts. Unweighted comparison was 57.61%.
2013-14,spcsa_brick_mortar,SPCSA Brick & Mortar,477,243,50.94,50.82,50.82,50.82,3,0,67.02,Weighted ACGR from school-level cohort and graduate counts. Unweighted comparison was 67.02%.
2013-14,spcsa_virtual,SPCSA Virtual,1830,866,47.32,47.36,47.36,47.36,2,0,43.1,Weighted ACGR from school-level cohort and graduate counts. Unweighted comparison was 43.1%.
2013-14,spcsa_alternative,SPCSA Alternative,643,278,43.23,43.2,43.2,43.2,2,0,58.02,Weighted ACGR from school-level cohort and graduate counts. Unweighted comparison was 58.02%.
2013-14,clark_charter_total,Clark Charter Total,512,253,49.41,49.34,49.34,49.34,4,0,54.05,Weighted ACGR from school-level cohort and graduate counts. Unweighted comparison was 54.05%.
2013-14,washoe_charter_total,Washoe Charter Total,245,115,46.94,46.89,46.89,46.89,4,0,54.68,Weighted ACGR from school-level cohort and graduate counts. Unweighted comparison was 54.68%.
2014-15,statewide_official,Statewide Official,33995,24247,71.3,71.3,71.3,71.3,,,,Official public rate from Nevada reporting context file; calculated rate from counts was 71.33%
