school_year,issue_type,school_code,school_name,details,recommended_action
2012-13,legacy_band_split_estimate,18400,Silver State,"Legacy total enrollment 428 paired to published legacy band rating rows for HS, MS using estimated_band_split_from_2015-16.",acceptable for Phase 1 legacy bridge; replace later if exact grade-by-grade enrollment is recovered
2012-13,legacy_band_split_estimate,18404,Nevada Virtual Ac,"Legacy total enrollment 4,497 paired to published legacy band rating rows for ES, HS, MS using estimated_band_split_from_2015-16.",acceptable for Phase 1 legacy bridge; replace later if exact grade-by-grade enrollment is recovered
2012-13,legacy_band_split_estimate,18405,NV Connections Ac,"Legacy total enrollment 1,607 paired to published legacy band rating rows for ES, HS, MS using estimated_band_split_from_2015-16.",acceptable for Phase 1 legacy bridge; replace later if exact grade-by-grade enrollment is recovered
2012-13,legacy_band_split_estimate,18407,Coral Acad of Sci,"Legacy total enrollment 1,275 paired to published legacy band rating rows for ES, HS, MS using estimated_band_split_from_2015-16.",acceptable for Phase 1 legacy bridge; replace later if exact grade-by-grade enrollment is recovered
2012-13,legacy_band_split_estimate,18408,Quest Acad,"Legacy total enrollment 1,001 paired to published legacy band rating rows for ES, HS, MS using estimated_band_split_from_2015-16.",acceptable for Phase 1 legacy bridge; replace later if exact grade-by-grade enrollment is recovered
2012-13,legacy_band_split_estimate,18410,Elko Institute,"Legacy total enrollment 146 paired to published legacy band rating rows for ES, MS using estimated_band_split_from_2015-16.",acceptable for Phase 1 legacy bridge; replace later if exact grade-by-grade enrollment is recovered
2012-13,legacy_band_split_estimate,18411,Silver Sands,"Legacy total enrollment 277 paired to published legacy band rating rows for ES, MS using estimated_band_split_from_2015-16.",acceptable for Phase 1 legacy bridge; replace later if exact grade-by-grade enrollment is recovered
2012-13,legacy_band_split_estimate,18414,Oasis Acad,"Legacy total enrollment 181 paired to published legacy band rating rows for ES, MS using estimated_band_split_from_2015-16.",acceptable for Phase 1 legacy bridge; replace later if exact grade-by-grade enrollment is recovered
2012-13,legacy_band_split_estimate,18417,Discovery Sch,"Legacy total enrollment 317 paired to published legacy band rating rows for ES, MS using estimated_band_split_from_2015-16.",acceptable for Phase 1 legacy bridge; replace later if exact grade-by-grade enrollment is recovered
2012-13,legacy_band_split_estimate,18419,Somerset Acad,"Legacy total enrollment 1,784 paired to published legacy band rating rows for ES, MS using estimated_band_split_from_2015-16.",acceptable for Phase 1 legacy bridge; replace later if exact grade-by-grade enrollment is recovered
