school_year,accountability_year,district_code,district_name,school_code,school_name,school_type,charter_status,authorizer,school_level_band,star_rating,rating_bucket_5level,rating_bucket_3level,enrollment_k,enrollment_1,enrollment_2,enrollment_3,enrollment_4,enrollment_5,enrollment_6,enrollment_7,enrollment_8,enrollment_9,enrollment_10,enrollment_11,enrollment_12,enrollment_es,enrollment_ms,enrollment_hs,enrollment_total,source_enrollment_file,source_rating_file,join_confidence,notes
2012-13,2012-13,18,State Charters,18400.2,Silver State MS,Charter,charter,Historical State Charters,MS,1.0,1,1-2,,,,,,,,,,,,,,,,,33.47,nv_2013_18.pdf,legacy_state_charters_nspf_rows_2012_13_to_2014_15.csv,estimated,estimated_band_split_from_2015-16
2012-13,2012-13,18,State Charters,18400.3,Silver State HS,Charter,charter,Historical State Charters,HS,2.0,2,1-2,,,,,,,,,,,,,,,,,394.53,nv_2013_18.pdf,legacy_state_charters_nspf_rows_2012_13_to_2014_15.csv,estimated,estimated_band_split_from_2015-16
2012-13,2012-13,18,State Charters,18401.3,Nevada State HS,Charter,charter,Historical State Charters,HS,5.0,5,4-5,,,,,,,,,,,,,,,,,226.0,nv_2013_18.pdf,legacy_state_charters_nspf_rows_2012_13_to_2014_15.csv,legacy_direct_single_band,single_band_total_from_legacy_pdf
2012-13,2012-13,18,State Charters,18404.1,Nevada Virtual Ac ES,Charter Virtual School,charter,Historical State Charters,ES,2.0,2,1-2,,,,,,,,,,,,,,,,,1454.48,nv_2013_18.pdf,legacy_state_charters_nspf_rows_2012_13_to_2014_15.csv,estimated,estimated_band_split_from_2015-16
2012-13,2012-13,18,State Charters,18404.2,Nevada Virtual Ac MS,Charter Virtual School,charter,Historical State Charters,MS,2.0,2,1-2,,,,,,,,,,,,,,,,,1387.71,nv_2013_18.pdf,legacy_state_charters_nspf_rows_2012_13_to_2014_15.csv,estimated,estimated_band_split_from_2015-16
2012-13,2012-13,18,State Charters,18404.3,Nevada Virtual Ac HS,Charter Virtual School,charter,Historical State Charters,HS,2.0,2,1-2,,,,,,,,,,,,,,,,,1654.81,nv_2013_18.pdf,legacy_state_charters_nspf_rows_2012_13_to_2014_15.csv,estimated,estimated_band_split_from_2015-16
2012-13,2012-13,18,State Charters,18405.1,NV Connections Ac ES,Charter Virtual School,charter,Historical State Charters,ES,3.0,3,3,,,,,,,,,,,,,,,,,444.17,nv_2013_18.pdf,legacy_state_charters_nspf_rows_2012_13_to_2014_15.csv,estimated,estimated_band_split_from_2015-16
2012-13,2012-13,18,State Charters,18405.2,NV Connections Ac MS,Charter Virtual School,charter,Historical State Charters,MS,4.0,4,4-5,,,,,,,,,,,,,,,,,408.65,nv_2013_18.pdf,legacy_state_charters_nspf_rows_2012_13_to_2014_15.csv,estimated,estimated_band_split_from_2015-16
2012-13,2012-13,18,State Charters,18405.3,NV Connections Ac HS,Charter Virtual School,charter,Historical State Charters,HS,3.0,3,3,,,,,,,,,,,,,,,,,754.18,nv_2013_18.pdf,legacy_state_charters_nspf_rows_2012_13_to_2014_15.csv,estimated,estimated_band_split_from_2015-16
2012-13,2012-13,18,State Charters,18407.1,Coral Acad of Sci ES,Charter,charter,Historical State Charters,ES,4.0,4,4-5,,,,,,,,,,,,,,,,,636.27,nv_2013_18.pdf,legacy_state_charters_nspf_rows_2012_13_to_2014_15.csv,estimated,estimated_band_split_from_2015-16
2012-13,2012-13,18,State Charters,18407.2,Coral Acad of Sci MS,Charter,charter,Historical State Charters,MS,4.0,4,4-5,,,,,,,,,,,,,,,,,408.56,nv_2013_18.pdf,legacy_state_charters_nspf_rows_2012_13_to_2014_15.csv,estimated,estimated_band_split_from_2015-16
2012-13,2012-13,18,State Charters,18407.3,Coral Acad of Sci HS,Charter,charter,Historical State Charters,HS,4.0,4,4-5,,,,,,,,,,,,,,,,,230.17,nv_2013_18.pdf,legacy_state_charters_nspf_rows_2012_13_to_2014_15.csv,estimated,estimated_band_split_from_2015-16
2012-13,2012-13,18,State Charters,18408.1,Quest Acad ES,Charter,charter,Historical State Charters,ES,2.0,2,1-2,,,,,,,,,,,,,,,,,665.76,nv_2013_18.pdf,legacy_state_charters_nspf_rows_2012_13_to_2014_15.csv,estimated,estimated_band_split_from_2015-16
2012-13,2012-13,18,State Charters,18408.2,Quest Acad MS,Charter,charter,Historical State Charters,MS,3.0,3,3,,,,,,,,,,,,,,,,,222.18,nv_2013_18.pdf,legacy_state_charters_nspf_rows_2012_13_to_2014_15.csv,estimated,estimated_band_split_from_2015-16
2012-13,2012-13,18,State Charters,18408.3,Quest Acad HS,Charter,charter,Historical State Charters,HS,3.0,3,3,,,,,,,,,,,,,,,,,113.05,nv_2013_18.pdf,legacy_state_charters_nspf_rows_2012_13_to_2014_15.csv,estimated,estimated_band_split_from_2015-16
