school_year,level_band,rating_bucket_5level,rating_bucket_3level,enrollment_share
2012-13,ES,1,1-2,0.0
2012-13,ES,2,1-2,0.41354837837746516
2012-13,ES,3,3,0.2289428960465454
2012-13,ES,4,4-5,0.3012528339116597
2012-13,ES,5,4-5,0.0
2012-13,ES,Not Rated,Not Rated,0.05625589166432971
2012-13,ES,Collapsed,1-2,0.41354837837746516
2012-13,ES,Collapsed,3,0.2289428960465454
2012-13,ES,Collapsed,4-5,0.3012528339116597
2012-13,ES,Collapsed,Not Rated,0.05625589166432971
2012-13,HS,1,1-2,0.17326510033753556
2012-13,HS,2,1-2,0.5134848535057779
2012-13,HS,3,3,0.20527417071819803
2012-13,HS,4,4-5,0.05448145921405814
2012-13,HS,5,4-5,0.05349441622443038
2012-13,HS,Not Rated,Not Rated,0.0
2012-13,HS,Collapsed,1-2,0.6867499538433135
2012-13,HS,Collapsed,3,0.20527417071819803
2012-13,HS,Collapsed,4-5,0.10797587543848852
2012-13,HS,Collapsed,Not Rated,0.0
2012-13,MS,1,1-2,0.009679984960883837
2012-13,MS,2,1-2,0.40134484404147325
2012-13,MS,3,3,0.1382441831880034
2012-13,MS,4,4-5,0.4261246800572643
2012-13,MS,5,4-5,0.01411652422888378
2012-13,MS,Not Rated,Not Rated,0.01048978352349139
2012-13,MS,Collapsed,1-2,0.4110248290023571
2012-13,MS,Collapsed,3,0.1382441831880034
2012-13,MS,Collapsed,4-5,0.4402412042861481
2012-13,MS,Collapsed,Not Rated,0.01048978352349139
2013-14,ES,1,1-2,0.0
2013-14,ES,2,1-2,0.29047382475315164
2013-14,ES,3,3,0.11754358491126418
2013-14,ES,4,4-5,0.07748758670407081
2013-14,ES,5,4-5,0.5144950036315135
2013-14,ES,Not Rated,Not Rated,0.0
2013-14,ES,Collapsed,1-2,0.29047382475315164
2013-14,ES,Collapsed,3,0.11754358491126418
2013-14,ES,Collapsed,4-5,0.5919825903355843
2013-14,ES,Collapsed,Not Rated,0.0
2013-14,HS,1,1-2,0.0
2013-14,HS,2,1-2,0.638395742073021
2013-14,HS,3,3,0.23570973795721564
2013-14,HS,4,4-5,0.0
2013-14,HS,5,4-5,0.1258945199697634
2013-14,HS,Not Rated,Not Rated,0.0
2013-14,HS,Collapsed,1-2,0.638395742073021
2013-14,HS,Collapsed,3,0.23570973795721564
