school_year,level_band,rating_bucket_5level,rating_bucket_3level,enrollment,enrollment_share,school_count,data_status
2012-13,ES,1,1-2,0.0,0.0,0,legacy_pdf_estimated_band_splits
2012-13,ES,2,1-2,2447.95,0.41354837837746516,4,legacy_pdf_estimated_band_splits
2012-13,ES,3,3,1355.2,0.2289428960465454,4,legacy_pdf_estimated_band_splits
2012-13,ES,4,4-5,1783.23,0.3012528339116597,3,legacy_pdf_estimated_band_splits
2012-13,ES,5,4-5,0.0,0.0,0,legacy_pdf_estimated_band_splits
2012-13,ES,Not Rated,Not Rated,333.0,0.05625589166432971,1,legacy_pdf_estimated_band_splits
2012-13,ES,Collapsed,1-2,2447.95,0.41354837837746516,4,legacy_pdf_estimated_band_splits
2012-13,ES,Collapsed,3,1355.2,0.2289428960465454,4,legacy_pdf_estimated_band_splits
2012-13,ES,Collapsed,4-5,1783.23,0.3012528339116597,3,legacy_pdf_estimated_band_splits
2012-13,ES,Collapsed,Not Rated,333.0,0.05625589166432971,1,legacy_pdf_estimated_band_splits
2012-13,HS,1,1-2,732.0,0.17326510033753556,1,legacy_pdf_estimated_band_splits
2012-13,HS,2,1-2,2169.34,0.5134848535057779,3,legacy_pdf_estimated_band_splits
2012-13,HS,3,3,867.2299999999999,0.20527417071819803,2,legacy_pdf_estimated_band_splits
2012-13,HS,4,4-5,230.17,0.05448145921405814,1,legacy_pdf_estimated_band_splits
2012-13,HS,5,4-5,226.0,0.05349441622443038,1,legacy_pdf_estimated_band_splits
2012-13,HS,Not Rated,Not Rated,0.0,0.0,0,legacy_pdf_estimated_band_splits
2012-13,HS,Collapsed,1-2,2901.34,0.6867499538433135,4,legacy_pdf_estimated_band_splits
2012-13,HS,Collapsed,3,867.2299999999999,0.20527417071819803,2,legacy_pdf_estimated_band_splits
2012-13,HS,Collapsed,4-5,456.16999999999996,0.10797587543848852,2,legacy_pdf_estimated_band_splits
2012-13,HS,Collapsed,Not Rated,0.0,0.0,0,legacy_pdf_estimated_band_splits
2012-13,MS,1,1-2,33.47,0.009679984960883837,1,legacy_pdf_estimated_band_splits
2012-13,MS,2,1-2,1387.71,0.40134484404147325,1,legacy_pdf_estimated_band_splits
2012-13,MS,3,3,478.0,0.1382441831880034,3,legacy_pdf_estimated_band_splits
2012-13,MS,4,4-5,1473.3899999999999,0.4261246800572643,5,legacy_pdf_estimated_band_splits
2012-13,MS,5,4-5,48.81,0.01411652422888378,1,legacy_pdf_estimated_band_splits
2012-13,MS,Not Rated,Not Rated,36.27,0.01048978352349139,1,legacy_pdf_estimated_band_splits
2012-13,MS,Collapsed,1-2,1421.18,0.4110248290023571,2,legacy_pdf_estimated_band_splits
2012-13,MS,Collapsed,3,478.0,0.1382441831880034,3,legacy_pdf_estimated_band_splits
2012-13,MS,Collapsed,4-5,1522.2,0.4402412042861481,6,legacy_pdf_estimated_band_splits
2012-13,MS,Collapsed,Not Rated,36.27,0.01048978352349139,1,legacy_pdf_estimated_band_splits
2013-14,ES,1,1-2,0.0,0.0,0,legacy_pdf_estimated_band_splits
2013-14,ES,2,1-2,2151.65,0.29047382475315164,4,legacy_pdf_estimated_band_splits
2013-14,ES,3,3,870.6899999999999,0.11754358491126418,3,legacy_pdf_estimated_band_splits
2013-14,ES,4,4-5,573.98,0.07748758670407081,1,legacy_pdf_estimated_band_splits
2013-14,ES,5,4-5,3811.06,0.5144950036315135,6,legacy_pdf_estimated_band_splits
2013-14,ES,Not Rated,Not Rated,0.0,0.0,0,legacy_pdf_estimated_band_splits
2013-14,ES,Collapsed,1-2,2151.65,0.29047382475315164,4,legacy_pdf_estimated_band_splits
2013-14,ES,Collapsed,3,870.6899999999999,0.11754358491126418,3,legacy_pdf_estimated_band_splits
2013-14,ES,Collapsed,4-5,4385.04,0.5919825903355843,7,legacy_pdf_estimated_band_splits
2013-14,ES,Collapsed,Not Rated,0.0,0.0,0,legacy_pdf_estimated_band_splits
2013-14,HS,1,1-2,0.0,0.0,0,legacy_pdf_estimated_band_splits
2013-14,HS,2,1-2,2677.17,0.638395742073021,3,legacy_pdf_estimated_band_splits
2013-14,HS,3,3,988.47,0.23570973795721564,3,legacy_pdf_estimated_band_splits
2013-14,HS,4,4-5,0.0,0.0,0,legacy_pdf_estimated_band_splits
2013-14,HS,5,4-5,527.95,0.1258945199697634,2,legacy_pdf_estimated_band_splits
2013-14,HS,Not Rated,Not Rated,0.0,0.0,0,legacy_pdf_estimated_band_splits
2013-14,HS,Collapsed,1-2,2677.17,0.638395742073021,3,legacy_pdf_estimated_band_splits
2013-14,HS,Collapsed,3,988.47,0.23570973795721564,3,legacy_pdf_estimated_band_splits
2013-14,HS,Collapsed,4-5,527.95,0.1258945199697634,2,legacy_pdf_estimated_band_splits
2013-14,HS,Collapsed,Not Rated,0.0,0.0,0,legacy_pdf_estimated_band_splits
2013-14,MS,1,1-2,33.47,0.008347944938980438,1,legacy_pdf_estimated_band_splits
2013-14,MS,2,1-2,0.0,0.0,0,legacy_pdf_estimated_band_splits
2013-14,MS,3,3,1629.21,0.4063506236640669,4,legacy_pdf_estimated_band_splits
2013-14,MS,4,4-5,823.39,0.20536642913974013,4,legacy_pdf_estimated_band_splits
2013-14,MS,5,4-5,1488.71,0.37130771168537696,4,legacy_pdf_estimated_band_splits
2013-14,MS,Not Rated,Not Rated,34.59,0.008627290571835476,1,legacy_pdf_estimated_band_splits
2013-14,MS,Collapsed,1-2,33.47,0.008347944938980438,1,legacy_pdf_estimated_band_splits
2013-14,MS,Collapsed,3,1629.21,0.4063506236640669,4,legacy_pdf_estimated_band_splits
2013-14,MS,Collapsed,4-5,2312.1,0.5766741408251171,8,legacy_pdf_estimated_band_splits
2013-14,MS,Collapsed,Not Rated,34.59,0.008627290571835476,1,legacy_pdf_estimated_band_splits
2014-15,ES,1,1-2,0.0,0.0,0,legacy_pdf_estimated_band_splits
2014-15,ES,2,1-2,2035.42,0.19801789478906937,4,legacy_pdf_estimated_band_splits
2014-15,ES,3,3,946.74,0.09210455911438598,3,legacy_pdf_estimated_band_splits
2014-15,ES,4,4-5,971.04,0.09446860920889934,1,legacy_pdf_estimated_band_splits
2014-15,ES,5,4-5,5502.58,0.5353240645706719,6,legacy_pdf_estimated_band_splits
2014-15,ES,Not Rated,Not Rated,823.19,0.08008487231697341,3,legacy_pdf_estimated_band_splits
2014-15,ES,Collapsed,1-2,2035.42,0.19801789478906937,4,legacy_pdf_estimated_band_splits
2014-15,ES,Collapsed,3,946.74,0.09210455911438598,3,legacy_pdf_estimated_band_splits
2014-15,ES,Collapsed,4-5,6473.62,0.6297926737795714,7,legacy_pdf_estimated_band_splits
2014-15,ES,Collapsed,Not Rated,823.19,0.08008487231697341,3,legacy_pdf_estimated_band_splits
2014-15,HS,1,1-2,0.0,0.0,0,legacy_pdf_estimated_band_splits
2014-15,HS,2,1-2,2579.7799999999997,0.5717888988135476,3,legacy_pdf_estimated_band_splits
2014-15,HS,3,3,797.89,0.17684633746844364,3,legacy_pdf_estimated_band_splits
2014-15,HS,4,4-5,0.0,0.0,0,legacy_pdf_estimated_band_splits
2014-15,HS,5,4-5,580.63,0.12869228706250538,2,legacy_pdf_estimated_band_splits
2014-15,HS,Not Rated,Not Rated,553.4699999999999,0.12267247665550324,4,legacy_pdf_estimated_band_splits
2014-15,HS,Collapsed,1-2,2579.7799999999997,0.5717888988135476,3,legacy_pdf_estimated_band_splits
2014-15,HS,Collapsed,3,797.89,0.17684633746844364,3,legacy_pdf_estimated_band_splits
2014-15,HS,Collapsed,4-5,580.63,0.12869228706250538,2,legacy_pdf_estimated_band_splits
2014-15,HS,Collapsed,Not Rated,553.4699999999999,0.12267247665550324,4,legacy_pdf_estimated_band_splits
2014-15,MS,1,1-2,32.22,0.006177253825315239,1,legacy_pdf_estimated_band_splits
2014-15,MS,2,1-2,0.0,0.0,0,legacy_pdf_estimated_band_splits
2014-15,MS,3,3,1718.9099999999999,0.3295513151108819,4,legacy_pdf_estimated_band_splits
2014-15,MS,4,4-5,1001.86,0.19207770072719818,4,legacy_pdf_estimated_band_splits
2014-15,MS,5,4-5,2046.1799999999998,0.39229587933840887,4,legacy_pdf_estimated_band_splits
2014-15,MS,Not Rated,Not Rated,416.74,0.07989785099819592,5,legacy_pdf_estimated_band_splits
2014-15,MS,Collapsed,1-2,32.22,0.006177253825315239,1,legacy_pdf_estimated_band_splits
2014-15,MS,Collapsed,3,1718.9099999999999,0.3295513151108819,4,legacy_pdf_estimated_band_splits
2014-15,MS,Collapsed,4-5,3048.04,0.584373580065607,8,legacy_pdf_estimated_band_splits
2014-15,MS,Collapsed,Not Rated,416.74,0.07989785099819592,5,legacy_pdf_estimated_band_splits
2015-16,ES,1,1-2,0.0,0.0,0,initial_transition_not_shown
2015-16,ES,2,1-2,0.0,0.0,0,initial_transition_not_shown
2015-16,ES,3,3,0.0,0.0,0,initial_transition_not_shown
2015-16,ES,4,4-5,0.0,0.0,0,initial_transition_not_shown
2015-16,ES,5,4-5,0.0,0.0,0,initial_transition_not_shown
2015-16,ES,Not Rated,Not Rated,18032.0,1.0,29,initial_transition_not_shown
2015-16,ES,Collapsed,1-2,0.0,0.0,0,initial_transition_not_shown
2015-16,ES,Collapsed,3,0.0,0.0,0,initial_transition_not_shown
2015-16,ES,Collapsed,4-5,0.0,0.0,0,initial_transition_not_shown
2015-16,ES,Collapsed,Not Rated,18032.0,1.0,29,initial_transition_not_shown
2015-16,HS,1,1-2,0.0,0.0,0,initial_transition_not_shown
2015-16,HS,2,1-2,0.0,0.0,0,initial_transition_not_shown
