Year,District Code,District Name,NSPF School Code,School Name,School Type,Total Index Score,Star Rating,Title I Status,% Proficient ELA,% Proficient Math,% Proficient Science,95% Participation Met Mathematics,95% Participation Met ELA,Participation Warning,Participation Penalty,Continuing Participation Penalty,% Meeting AGP ELA,% Meeting AGP Math,% Meeting AGP EL,NAC 389.445 Credit Requirements (8th Grade),9th Grade Credit Sufficiency,CCR Participation,CCR Completion,Advanced Diploma,4-Year Graduation Rate,5-Year Graduation Rate,Chronic Absenteeism,CSI,Yrs In Designation As CSI,TSI,Yrs In Designation As TSI,ATSI,Yrs In Designation As ATSI,district_id,district_name,year
2022,1,Churchill,1205.1,Best ES,Regular,35.56,Not Rated,YES,37.9,45.1,,YES,YES,NO,NO,NO,,,45.7,,,,,,,,22.6,NO,,NO,,NO,,64826,Carson City,2022
2022,1,Churchill,1206.1,Lahontan ES,Regular,50.0,Not Rated,YES,,,,,,NO,NO,NO,,,50,,,,,,,,18.9,NO,,NO,,NO,,64826,Carson City,2022
2022,1,Churchill,1207.1,Numa ES,Regular,25.26,Not Rated,YES,38.9,25.9,21.0,YES,YES,NO,NO,NO,45.1,28.6,37.5,,,,,,,,26.6,NO,,YES,3.0,NO,,64826,Carson City,2022
2022,1,Churchill,1301.2,Churchill MS,Regular,24.5,Not Rated,YES,35.6,16.1,28.4,NO,NO,YES,NO,NO,35.6,16.6,6.2,>95,,,,,,,19.0,YES,4.0,NO,,NO,,64826,Carson City,2022
2022,1,Churchill,1401.3,Churchill HS,Regular,47.0,Not Rated,NO,44.7,16.2,24.1,YES,YES,NO,NO,NO,,,<5,,77.1,66.5,32.5,32.9,83.5,85.5,29.7,YES,4.0,NO,,NO,,64826,Carson City,2022
2022,2,Clark,2060.1,Thompson T ES,Regular,71.0,Not Rated,NO,68,57,21.1,YES,YES,NO,NO,NO,65.3,51.4,21.4,,,,,,,,23,NO,,NO,,NO,,64827,Churchill,2022
2022,2,Clark,2061.1,Abston ES,Regular,69.5,Not Rated,YES,51.2,42.7,18.8,YES,YES,NO,NO,NO,62.6,53.6,53.8,,,,,,,,36.7,NO,,NO,,NO,,64827,Churchill,2022
2022,2,Clark,2062.1,Jenkins ES,Regular,44.5,Not Rated,YES,43.9,35.6,10.9,YES,YES,NO,NO,NO,49,49,26.5,,,,,,,,40.9,NO,,NO,,NO,,64827,Churchill,2022
2022,2,Clark,2064.1,Ellis ES,Regular,76.0,Not Rated,NO,67.6,59.8,36.6,YES,YES,NO,NO,NO,61.3,65.6,36.3,,,,,,,,21.6,NO,,NO,,NO,,64827,Churchill,2022
2022,2,Clark,2065.1,Ortwein ES,Regular,30.5,Not Rated,NO,38.8,32.9,10.4,YES,YES,NO,NO,NO,48,31.2,34.7,,,,,,,,27.9,NO,,NO,,NO,,64827,Churchill,2022
2022,2,Clark,2066.1,Barber ES,Regular,45.5,Not Rated,YES,43.1,25.2,12.9,YES,YES,NO,NO,NO,51.1,40,47.8,,,,,,,,27.8,NO,,NO,,NO,,64827,Churchill,2022
2022,2,Clark,2067.1,Divich ES,Regular,72.0,Not Rated,NO,63.7,43.1,35.3,YES,YES,YES,NO,NO,66.8,57,40,,,,,,,,22.1,NO,,NO,,NO,,64827,Churchill,2022
2022,2,Clark,2068.1,Jones Blackhurst ES,Regular,70.0,Not Rated,NO,66.1,49,32.4,YES,YES,NO,NO,NO,60.3,55,44.4,,,,,,,,22.8,NO,,NO,,NO,,64827,Churchill,2022
2022,2,Clark,2069.1,Vassiliadis ES,Regular,87.5,Not Rated,NO,78.1,74,45.8,YES,YES,NO,NO,NO,73,66,56,,,,,,,,15.1,NO,,NO,,NO,,64827,Churchill,2022
2022,2,Clark,2070.1,Berkley ES,Regular,58.5,Not Rated,YES,47.2,36.8,19.2,YES,YES,NO,NO,NO,58.1,55.4,45.6,,,,,,,,33.6,NO,,NO,,NO,,64827,Churchill,2022
2022,2,Clark,2071.1,Stevens ES,Regular,78.0,Not Rated,YES,60.3,50,26.6,YES,YES,NO,NO,NO,76.5,73,46.8,,,,,,,,39.2,NO,,NO,,NO,,64827,Churchill,2022
2022,2,Clark,2072.1,Mathis ES,Regular,40.0,Not Rated,YES,51.4,41.8,<5,YES,YES,NO,NO,NO,43.1,41.9,41.8,,,,,,,,24.3,NO,,NO,,NO,,64827,Churchill,2022
2022,2,Clark,2073.1,Heard ES,Regular,45.5,Not Rated,YES,44,29.1,14.2,YES,YES,NO,NO,NO,54.5,31.4,46.4,,,,,,,,23.9,NO,,NO,,NO,,64827,Churchill,2022
